"날짜","종가","시가","고가","저가","변동 %"
"2022- 03- 28","121.70","121.67","122.19","120.95","0.12%"
"2022- 03- 25","121.55","122.69","122.94","121.50","-1.11%"
"2022- 03- 24","122.92","123.30","123.31","122.52","-0.18%"
"2022- 03- 23","123.14","122.64","123.38","122.38","0.18%"
"2022- 03- 22","122.92","123.50","123.75","122.95","-0.42%"
"2022- 03- 21","123.44","124.84","124.84","123.39","-1.12%"
"2022- 03- 20","124.84","124.83","124.84","124.83","0.03%"
"2022- 03- 18","124.81","124.67","125.03","124.66","0.23%"
"2022- 03- 17","124.52","124.75","125.03","124.45","0.06%"
"2022- 03- 16","124.45","124.94","125.34","124.05","-0.29%"
"2022- 03- 15","124.81","124.94","125.48","124.88","-0.11%"
"2022- 03- 14","124.95","126.20","126.20","124.89","-0.85%"
"2022- 03- 11","126.02","126.41","126.47","125.95","-0.06%"
"2022- 03- 10","126.09","126.66","126.83","126.05","-0.39%"
"2022- 03- 09","126.59","127.38","127.47","126.58","-0.46%"
"2022- 03- 08","127.17","127.95","128.05","127.14","-0.71%"
"2022- 03- 07","128.08","128.73","129.06","127.83","-0.35%"
"2022- 03- 04","128.53","127.55","128.83","127.55","0.76%"
"2022- 03- 03","127.56","127.38","127.70","127.16","0.20%"
"2022- 03- 02","127.31","128.45","128.86","127.08","-1.10%"
"2022- 03- 01","128.72","127.50","128.95","127.23","1.00%"
"2022- 02- 28","127.45","126.98","127.59","126.81","0.95%"
"2022- 02- 25","126.25","126.45","126.67","126.00","-0.17%"
"2022- 02- 24","126.47","126.19","127.39","126.19","0.15%"
"2022- 02- 23","126.28","126.52","126.61","126.09","-0.15%"
"2022- 02- 22","126.47","126.80","127.28","126.38","-0.53%"
"2022- 02- 21","127.14","126.81","127.22","126.47","0.26%"
"2022- 02- 20","126.81","126.77","126.92","126.73","0.11%"
"2022- 02- 18","126.67","126.48","126.80","126.22","0.20%"
"2022- 02- 17","126.42","125.80","126.48","125.78","0.48%"
"2022- 02- 16","125.81","125.70","126.03","125.64","0.06%"
"2022- 02- 15","125.73","126.03","126.20","125.58","-0.20%"
"2022- 02- 14","125.98","126.52","126.80","125.78","-0.32%"
"2022- 02- 11","126.39","125.75","126.73","125.59","0.47%"
"2022- 02- 10","125.80","126.64","126.81","125.55","-0.75%"
"2022- 02- 09","126.75","126.48","126.92","126.42","0.13%"
"2022- 02- 08","126.58","126.89","126.92","126.47","-0.26%"
"2022- 02- 07","126.91","126.84","127.03","126.70","0.11%"
"2022- 02- 04","126.77","127.58","127.75","126.73","-0.68%"
"2022- 02- 03","127.64","128.03","128.23","127.50","-0.37%"
"2022- 02- 02","128.12","127.88","128.30","127.77","0.19%"
"2022- 02- 01","127.88","128.02","128.36","127.69","-0.07%"
"2022- 01- 31","127.97","127.91","128.05","127.67","0.02%"
"2022- 01- 28","127.95","127.67","128.03","127.33","0.23%"
"2022- 01- 27","127.66","127.34","127.88","127.28","0.11%"
"2022- 01- 26","127.52","128.20","128.27","127.20","-0.47%"
"2022- 01- 25","128.12","128.20","128.53","128.03","-0.31%"
"2022- 01- 24","128.52","128.22","128.70","127.98","0.16%"
"2022- 01- 21","128.31","127.91","128.50","127.88","0.48%"
"2022- 01- 20","127.70","127.34","127.95","127.25","0.02%"
"2022- 01- 19","127.67","127.30","127.73","127.06","0.23%"
"2022- 01- 18","127.38","128.03","128.05","127.25","-0.39%"
"2022- 01- 17","127.88","127.77","127.88","127.73","0.02%"
"2022- 01- 16","127.84","128.02","128.03","127.83","-0.27%"
"2022- 01- 14","128.19","128.75","128.80","128.03","-0.41%"
"2022- 01- 13","128.72","128.38","128.84","128.25","0.11%"
"2022- 01- 12","128.58","128.47","128.70","128.33","0.15%"
"2022- 01- 11","128.39","128.27","128.47","128.03","0.20%"
"2022- 01- 10","128.14","128.33","128.38","127.94","-0.12%"
"2022- 01- 07","128.30","128.62","128.75","128.03","-0.18%"
"2022- 01- 06","128.53","128.84","129.00","128.44","-0.24%"
"2022- 01- 05","128.84","129.39","129.44","128.80","-0.34%"
"2022- 01- 04","129.28","129.50","129.59","129.12","-0.12%"
"2022- 01- 03","129.44","130.33","130.34","129.39","-0.79%"
"2021- 12- 31","130.47","130.44","130.58","130.31","0.05%"
"2021- 12- 30","130.41","130.19","130.50","130.17","0.15%"
"2021- 12- 29","130.22","130.62","130.73","130.09","-0.30%"
"2021- 12- 28","130.61","130.59","130.77","130.52","0.04%"
"2021- 12- 27","130.56","130.50","130.67","130.41","0.01%"
"2021- 12- 23","130.55","130.73","130.81","130.47","-0.14%"
"2021- 12- 22","130.73","130.75","130.89","130.53","-0.37%"
"2021- 12- 21","131.22","131.83","131.91","131.17","-0.46%"
"2021- 12- 20","131.83","131.98","132.19","131.77","0.53%"
"2021- 12- 18","131.14","131.14","131.14","131.14","-0.52%"
"2021- 12- 17","131.83","131.72","132.06","131.72","0.05%"
"2021- 12- 16","131.77","131.20","131.75","131.14","0.47%"
"2021- 12- 15","131.16","131.34","131.41","130.94","-0.11%"
"2021- 12- 14","131.30","131.47","131.55","131.17","-0.17%"
"2021- 12- 13","131.52","131.12","131.59","130.97","0.85%"
"2021- 12- 11","130.41","130.41","130.41","130.41","-0.52%"
"2021- 12- 10","131.09","131.05","131.38","130.78","0.01%"
"2021- 12- 09","131.08","130.88","131.23","130.70","0.12%"
"2021- 12- 08","130.92","131.19","131.42","130.67","-0.08%"
"2021- 12- 07","131.03","131.44","131.45","131.00","-0.24%"
"2021- 12- 06","131.34","131.92","131.92","131.31","-0.50%"
"2021- 12- 04","132.00","132.00","132.00","131.36","-0.09%"
"2021- 12- 03","132.12","131.47","132.27","131.14","0.62%"
"2021- 12- 02","131.31","131.73","131.78","131.19","-0.25%"
"2021- 12- 01","131.64","131.47","131.84","130.95","0.07%"
"2021- 11- 30","131.55","131.30","132.05","131.03","0.38%"
"2021- 11- 29","131.05","130.97","131.33","130.64","-0.09%"
"2021- 11- 27","131.17","131.17","131.17","131.17","0.00%"
"2021- 11- 26","131.17","129.84","131.33","129.75","0.71%"
"2021- 11- 25","130.25","129.84","130.25","129.75","0.32%"
"2021- 11- 24","129.83","129.77","130.11","129.50","0.04%"
"2021- 11- 23","129.78","129.97","130.06","129.59","-0.17%"
"2021- 11- 22","130.00","130.75","130.75","129.91","-0.56%"
"2021- 11- 20","130.73","130.73","130.73","130.73","-0.11%"
"2021- 11- 19","130.88","130.58","131.25","130.42","0.23%"
"2021- 11- 18","130.58","130.52","130.67","130.36","0.10%"
