"날짜","종가","시가","고가","저가","변동 %"
"2021- 03- 10","133.62","133.48","133.72","133.30","0.16%"
"2021- 03- 09","133.41","132.97","133.48","132.97","0.32%"
"2021- 03- 08","132.98","133.14","133.22","132.94","-0.35%"
"2021- 03- 05","133.45","133.44","133.62","132.88","-0.04%"
"2021- 03- 04","133.50","134.06","134.28","133.48","-0.48%"
"2021- 03- 03","134.14","134.73","134.73","133.95","-0.37%"
"2021- 03- 02","134.64","134.42","134.84","134.27","0.27%"
"2021- 03- 01","134.28","134.27","134.58","134.09","0.36%"
"2021- 02- 26","133.80","133.70","134.39","133.33","0.10%"
"2021- 02- 25","133.67","135.23","135.28","133.08","-1.10%"
"2021- 02- 24","135.16","135.55","135.72","134.86","-0.19%"
"2021- 02- 23","135.42","135.34","135.56","135.20","0.07%"
"2021- 02- 22","135.33","135.42","135.59","135.03","-0.09%"
"2021- 02- 19","135.45","135.83","135.89","135.33","-0.30%"
"2021- 02- 18","135.86","135.95","136.06","135.62","0.08%"
"2021- 02- 17","135.75","135.66","135.95","135.47","-0.02%"
"2021- 02- 16","135.78","136.45","136.47","135.64","-0.29%"
"2021- 02- 15","136.18","136.32","136.35","136.05","-0.10%"
"2021- 02- 14","136.32","136.49","136.49","136.29","-0.17%"
"2021- 02- 12","136.55","136.81","136.94","136.47","-0.23%"
"2021- 02- 11","136.86","136.98","137.06","136.80","-0.04%"
"2021- 02- 10","136.92","136.70","136.98","136.58","0.15%"
"2021- 02- 09","136.72","136.62","136.81","136.61","0.02%"
"2021- 02- 08","136.69","136.67","136.78","136.45","0.00%"
"2021- 02- 05","136.69","136.77","136.92","136.50","-0.08%"
"2021- 02- 04","136.80","136.73","136.84","136.59","0.00%"
"2021- 02- 03","136.80","137.02","137.02","136.72","-0.10%"
"2021- 02- 02","136.94","137.16","137.22","136.88","-0.18%"
"2021- 02- 01","137.19","137.17","137.30","137.06","0.12%"
"2021- 01- 29","137.03","137.27","137.33","136.89","-0.16%"
"2021- 01- 28","137.25","137.16","137.19","137.04","-0.20%"
"2021- 01- 27","137.53","137.38","137.64","137.28","0.11%"
"2021- 01- 26","137.38","137.42","137.45","137.27","0.00%"
"2021- 01- 25","137.38","137.03","137.45","136.94","0.26%"
"2021- 01- 22","137.03","136.88","137.08","136.81","0.10%"
"2021- 01- 21","136.89","137.00","137.06","136.73","-0.06%"
"2021- 01- 20","136.97","136.95","137.06","136.80","0.02%"
"2021- 01- 19","136.94","136.92","136.98","136.66","0.07%"
"2021- 01- 18","136.84","136.93","136.98","136.84","-0.07%"
"2021- 01- 17","136.94","136.93","136.98","136.91","0.06%"
"2021- 01- 15","136.86","136.53","136.95","136.52","0.22%"
"2021- 01- 14","136.56","136.80","136.88","136.50","-0.15%"
"2021- 01- 13","136.77","136.42","136.86","136.38","0.28%"
"2021- 01- 12","136.39","136.31","136.45","136.03","-0.02%"
"2021- 01- 11","136.42","136.56","136.75","136.30","-0.18%"
"2021- 01- 08","136.66","136.88","136.92","136.52","-0.21%"
"2021- 01- 07","136.95","137.23","137.30","136.84","-0.18%"
"2021- 01- 06","137.20","137.83","137.92","137.09","-0.46%"
"2021- 01- 05","137.84","138.16","138.16","137.78","-0.20%"
"2021- 01- 04","138.12","137.97","138.17","137.81","0.07%"
"2021- 01- 01","138.03","138.03","138.03","138.03","-0.04%"
"2020- 12- 31","138.08","137.97","138.11","137.89","0.08%"
"2020- 12- 30","137.97","137.89","137.98","137.75","0.04%"
"2020- 12- 29","137.92","137.97","137.97","137.80","0.00%"
"2020- 12- 28","137.92","137.92","137.98","137.67","0.03%"
"2020- 12- 24","137.88","137.80","137.94","137.73","0.08%"
"2020- 12- 23","137.77","137.98","138.09","137.62","-0.15%"
"2020- 12- 22","137.98","137.80","138.00","137.77","-0.31%"
"2020- 12- 21","138.41","138.66","138.70","138.33","0.15%"
"2020- 12- 18","138.20","138.36","138.39","138.19","-0.07%"
"2020- 12- 17","138.30","138.30","138.53","138.20","-0.02%"
"2020- 12- 16","138.33","138.42","138.42","138.11","0.02%"
"2020- 12- 15","138.30","138.48","138.58","138.27","-0.14%"
"2020- 12- 14","138.50","138.36","138.52","138.17","0.00%"
"2020- 12- 11","138.50","138.30","138.59","138.28","0.14%"
"2020- 12- 10","138.31","138.12","138.30","138.09","0.19%"
"2020- 12- 09","138.05","138.12","138.16","137.95","-0.12%"
"2020- 12- 08","138.22","138.19","138.39","138.08","0.06%"
"2020- 12- 07","138.14","137.81","138.17","137.80","0.24%"
"2020- 12- 04","137.81","138.14","138.20","137.69","-0.20%"
"2020- 12- 03","138.08","137.95","138.20","137.86","0.17%"
"2020- 12- 02","137.84","137.98","138.05","137.70","0.00%"
"2020- 12- 01","137.84","138.53","138.59","137.83","-0.50%"
"2020- 11- 30","138.53","138.53","138.62","138.42","-0.01%"
"2020- 11- 27","138.55","138.25","138.55","138.23","0.07%"
"2020- 11- 26","138.45","138.27","138.46","138.27","0.13%"
"2020- 11- 25","138.27","138.25","138.47","138.12","0.01%"
"2020- 11- 24","138.25","138.33","138.38","138.17","-0.04%"
"2020- 11- 23","138.31","138.53","138.55","138.27","-0.14%"
"2020- 11- 20","138.50","138.52","138.62","138.38","0.10%"
"2020- 11- 19","138.36","138.22","138.52","138.22","0.12%"
"2020- 11- 18","138.19","138.36","138.52","138.08","-0.08%"
"2020- 11- 17","138.30","138.03","138.36","137.95","0.20%"
"2020- 11- 16","138.03","138.08","138.25","137.84","-0.06%"
"2020- 11- 13","138.11","138.20","138.33","138.05","-0.04%"
"2020- 11- 12","138.16","137.62","138.23","137.61","0.40%"
"2020- 11- 11","137.61","137.50","137.67","137.25","0.12%"
"2020- 11- 10","137.44","137.81","137.92","137.42","-0.10%"
"2020- 11- 09","137.58","138.50","138.77","137.41","-0.70%"
"2020- 11- 06","138.55","138.97","139.03","138.39","-0.24%"
"2020- 11- 05","138.88","138.97","139.27","138.77","-0.07%"
"2020- 11- 04","138.98","137.95","139.03","137.64","0.64%"
"2020- 11- 03","138.09","138.31","138.34","137.95","-0.15%"
"2020- 11- 02","138.30","138.17","138.48","138.14","0.06%"
"2020- 10- 30","138.22","138.47","138.61","138.11","-0.14%"
"2020- 10- 29","138.41","138.81","138.89","138.36","-0.28%"
"2020- 10- 28","138.80","138.89","139.09","138.77","-0.03%"
"2020- 10- 27","138.84","138.62","138.91","138.58","0.14%"
"2020- 10- 26","138.64","138.34","138.72","138.34","0.20%"
"2020- 10- 23","138.36","138.27","138.47","138.17","0.02%"
"2020- 10- 22","138.33","138.50","138.62","138.16","-0.18%"
"2020- 10- 21","138.58","138.75","138.77","138.41","-0.09%"
"2020- 10- 20","138.70","138.83","138.89","138.66","-0.16%"
"2020- 10- 19","138.92","139.03","139.05","138.75","-0.10%"
"2020- 10- 16","139.06","139.09","139.23","138.97","-0.04%"
"2020- 10- 15","139.12","139.20","139.44","139.06","-0.07%"
"2020- 10- 14","139.22","139.20","139.33","139.14","0.01%"
"2020- 10- 13","139.20","138.91","139.25","138.89","0.21%"
"2020- 10- 12","138.91","138.83","138.94","138.80","0.06%"
"2020- 10- 09","138.83","138.80","138.98","138.67","-0.06%"
"2020- 10- 08","138.92","138.70","138.94","138.70","0.14%"
"2020- 10- 07","138.72","139.12","139.14","138.64","-0.24%"
"2020- 10- 06","139.05","138.77","139.19","138.72","0.09%"
"2020- 10- 05","138.92","139.38","139.45","138.75","-0.37%"
"2020- 10- 02","139.44","139.52","139.78","139.36","-0.08%"
"2020- 10- 01","139.55","139.47","139.64","139.20","0.01%"
"2020- 09- 30","139.53","139.73","139.80","139.34","-0.18%"
"2020- 09- 29","139.78","139.70","139.81","139.62","0.11%"
"2020- 09- 28","139.62","139.64","139.69","139.52","-0.01%"
"2020- 09- 25","139.64","139.55","139.72","139.47","0.04%"
"2020- 09- 24","139.58","139.52","139.61","139.47","0.06%"
"2020- 09- 23","139.50","139.55","139.67","139.39","-0.09%"
"2020- 09- 22","139.62","139.58","139.62","139.48","-0.11%"
"2020- 09- 21","139.77","139.61","139.88","139.61","0.11%"
"2020- 09- 18","139.61","139.70","139.70","139.56","-0.02%"
"2020- 09- 17","139.64","139.56","139.91","139.56","0.00%"
"2020- 09- 16","139.64","139.73","139.95","139.55","-0.02%"
"2020- 09- 15","139.67","139.73","139.73","139.62","-0.04%"
"2020- 09- 14","139.73","139.77","139.84","139.67","-0.03%"
"2020- 09- 11","139.77","139.61","139.77","139.53","0.13%"
"2020- 09- 10","139.59","139.47","139.62","139.34","0.09%"
"2020- 09- 09","139.47","139.69","139.72","139.42","-0.06%"
"2020- 09- 08","139.56","139.28","139.64","139.25","0.34%"
"2020- 09- 07","139.09","139.10","139.20","139.02","-0.01%"
"2020- 09- 06","139.10","139.06","139.13","139.06","-0.07%"
"2020- 09- 04","139.20","139.84","139.86","139.19","-0.51%"
"2020- 09- 03","139.92","139.72","140.02","139.58","0.16%"
"2020- 09- 02","139.70","139.59","139.77","139.45","0.09%"
"2020- 09- 01","139.58","139.34","139.59","139.20","0.12%"
"2020- 08- 31","139.41","139.30","139.45","139.09","0.11%"
"2020- 08- 28","139.25","138.91","139.36","138.72","0.20%"
"2020- 08- 27","138.97","139.33","139.62","138.89","-0.24%"
"2020- 08- 26","139.31","139.27","139.34","139.02","0.00%"
"2020- 08- 25","139.31","139.47","139.48","139.02","-0.15%"
"2020- 08- 24","139.52","139.61","139.72","139.44","-0.03%"
"2020- 08- 21","139.56","139.50","139.73","139.42","0.00%"
"2020- 08- 20","139.56","139.31","139.66","139.31","0.13%"
"2020- 08- 19","139.38","139.42","139.56","139.27","-0.01%"
"2020- 08- 18","139.39","139.30","139.50","139.25","0.04%"
"2020- 08- 17","139.33","139.16","139.47","139.11","0.15%"
"2020- 08- 14","139.12","138.91","139.22","138.91","0.11%"
"2020- 08- 13","138.97","139.12","139.44","138.89","-0.16%"
"2020- 08- 12","139.19","139.36","139.50","139.00","-0.04%"
"2020- 08- 11","139.25","139.88","139.94","139.22","-0.45%"
"2020- 08- 10","139.88","139.94","140.14","139.83","-0.05%"
"2020- 08- 07","139.95","140.14","140.28","139.91","-0.15%"
"2020- 08- 06","140.16","140.03","140.41","140.00","0.06%"
"2020- 08- 05","140.08","140.39","140.41","140.00","-0.18%"
"2020- 08- 04","140.33","140.03","140.41","139.94","0.28%"
"2020- 08- 03","139.94","140.16","140.17","139.88","-0.10%"
"2020- 07- 31","140.08","139.97","140.19","139.88","0.04%"
"2020- 07- 30","140.02","139.78","140.06","139.75","0.19%"
"2020- 07- 29","139.75","139.70","139.88","139.58","0.04%"
"2020- 07- 28","139.70","139.42","139.73","139.25","0.16%"
"2020- 07- 27","139.47","139.56","139.75","139.41","-0.08%"
"2020- 07- 24","139.58","139.62","139.78","139.53","-0.03%"
"2020- 07- 23","139.62","139.53","139.70","139.52","0.04%"
"2020- 07- 22","139.56","139.55","139.67","139.48","0.03%"
"2020- 07- 21","139.52","139.47","139.59","139.33","0.09%"
"2020- 07- 20","139.39","139.36","139.56","139.33","0.02%"
"2020- 07- 17","139.36","139.44","139.56","139.31","-0.09%"
"2020- 07- 16","139.48","139.31","139.56","139.27","0.10%"
"2020- 07- 15","139.34","139.20","139.44","139.11","-0.06%"
"2020- 07- 14","139.42","139.34","139.52","139.23","0.14%"
"2020- 07- 13","139.22","139.16","139.38","139.02","0.00%"
"2020- 07- 10","139.22","139.38","139.70","139.11","-0.20%"
"2020- 07- 09","139.50","139.08","139.53","139.06","0.22%"
"2020- 07- 08","139.19","139.25","139.28","139.02","-0.01%"
"2020- 07- 07","139.20","139.02","139.33","138.94","0.16%"
"2020- 07- 06","138.98","139.17","139.17","138.77","-0.14%"
"2020- 07- 03","139.18","139.16","139.23","139.12","0.06%"
"2020- 07- 02","139.09","138.97","139.19","138.73","0.10%"
"2020- 07- 01","138.95","139.16","139.17","138.80","-0.16%"
"2020- 06- 30","139.17","139.38","139.44","139.09","-0.11%"
"2020- 06- 29","139.33","139.23","139.42","139.08","0.08%"
"2020- 06- 26","139.22","138.84","139.27","138.83","0.22%"
"2020- 06- 25","138.91","138.88","139.06","138.80","0.02%"
"2020- 06- 24","138.88","138.67","138.91","138.53","0.09%"
"2020- 06- 23","138.75","138.64","138.91","138.52","0.04%"
"2020- 06- 22","138.70","138.92","138.95","138.64","-0.33%"
"2020- 06- 19","139.16","139.14","139.14","138.80","-0.03%"
"2020- 06- 18","139.20","139.05","139.20","139.02","0.17%"
"2020- 06- 17","138.97","138.80","138.98","138.80","0.12%"
"2020- 06- 16","138.80","138.81","138.98","138.64","-0.22%"
"2020- 06- 15","139.11","139.22","139.47","138.94","0.00%"
"2020- 06- 12","139.11","139.27","139.28","139.08","-0.22%"
"2020- 06- 11","139.42","139.09","139.42","139.03","0.39%"
"2020- 06- 10","138.88","138.16","138.98","138.16","0.52%"
"2020- 06- 09","138.16","137.91","138.31","137.88","0.31%"
"2020- 06- 08","137.73","137.48","137.89","137.42","0.13%"
"2020- 06- 05","137.55","138.17","138.36","137.12","-0.47%"
"2020- 06- 04","138.20","138.67","138.73","138.09","-0.26%"
"2020- 06- 03","138.56","139.17","139.20","138.47","-0.45%"
"2020- 06- 02","139.19","139.33","139.42","139.12","-0.10%"
"2020- 06- 01","139.33","139.45","139.53","139.11","-0.04%"
"2020- 05- 29","139.38","139.06","139.41","139.05","0.31%"
"2020- 05- 28","138.95","139.06","139.22","138.89","-0.12%"
"2020- 05- 27","139.12","138.98","139.31","138.69","0.12%"
"2020- 05- 26","138.95","139.19","139.25","138.80","-0.18%"
"2020- 05- 25","139.20","139.15","139.24","139.12","0.05%"
"2020- 05- 24","139.13","139.17","139.21","139.12","-0.02%"
"2020- 05- 22","139.16","139.06","139.42","139.05","0.07%"
"2020- 05- 21","139.06","139.02","139.22","138.98","-0.01%"
"2020- 05- 20","139.08","139.05","139.16","138.78","0.16%"
"2020- 05- 19","138.86","138.67","139.05","138.58","0.19%"
"2020- 05- 18","138.59","139.36","139.39","138.56","-0.53%"
"2020- 05- 15","139.33","139.38","139.66","139.25","-0.06%"
"2020- 05- 14","139.42","139.20","139.52","139.16","0.14%"
"2020- 05- 13","139.22","139.08","139.31","139.03","0.19%"
"2020- 05- 12","138.95","138.72","139.09","138.58","0.24%"
"2020- 05- 11","138.62","138.94","139.06","138.61","-0.24%"
"2020- 05- 08","138.95","139.19","139.50","138.88","-0.25%"
"2020- 05- 07","139.30","138.62","139.34","138.50","0.54%"
"2020- 05- 06","138.55","138.80","138.81","138.27","-0.22%"
"2020- 05- 05","138.86","138.92","138.98","138.62","-0.08%"
"2020- 05- 04","138.97","139.11","139.23","138.80","0.06%"
"2020- 05- 01","138.88","138.97","139.27","138.84","-0.13%"
"2020- 04- 30","139.06","138.94","139.36","138.80","0.06%"
"2020- 04- 29","138.97","139.00","139.28","138.83","-0.04%"
"2020- 04- 28","139.02","138.62","139.11","138.53","0.26%"
"2020- 04- 27","138.66","139.00","139.05","138.58","-0.32%"
"2020- 04- 24","139.11","139.09","139.23","138.89","0.06%"
"2020- 04- 23","139.02","139.03","139.17","138.86","-0.02%"
"2020- 04- 22","139.05","139.42","139.53","138.83","-0.24%"
"2020- 04- 21","139.39","139.22","139.69","139.08","0.20%"
"2020- 04- 20","139.11","139.02","139.23","138.92","0.16%"
"2020- 04- 17","138.89","138.84","139.44","138.53","-0.24%"
"2020- 04- 16","139.23","139.17","139.41","138.95","0.05%"
"2020- 04- 15","139.16","138.22","139.28","138.19","0.68%"
"2020- 04- 14","138.22","137.97","138.39","137.84","0.10%"
"2020- 04- 13","138.08","138.08","138.34","137.89","-0.07%"
"2020- 04- 10","138.17","138.17","138.17","138.17","-0.06%"
"2020- 04- 09","138.25","137.77","138.39","137.66","0.30%"
"2020- 04- 08","137.84","138.06","138.30","137.70","-0.05%"
"2020- 04- 07","137.91","138.44","138.47","137.50","-0.36%"
"2020- 04- 06","138.41","138.98","139.03","138.33","-0.52%"
"2020- 04- 03","139.14","139.02","139.34","138.89","0.18%"
"2020- 04- 02","138.89","139.30","139.45","138.78","-0.06%"
"2020- 04- 01","138.98","138.80","139.42","138.78","0.21%"
"2020- 03- 31","138.69","138.47","139.05","138.34","-0.10%"
"2020- 03- 30","138.83","138.92","139.39","138.38","0.41%"
"2020- 03- 27","138.27","137.39","138.75","137.34","0.39%"
"2020- 03- 26","137.73","137.25","138.02","137.22","0.28%"
"2020- 03- 25","137.34","137.23","137.69","137.03","-0.08%"
"2020- 03- 24","137.45","138.09","138.31","136.92","-0.54%"
"2020- 03- 23","138.20","137.56","138.56","137.20","1.25%"
"2020- 03- 20","136.50","136.34","136.45","136.00","0.88%"
"2020- 03- 19","135.31","135.14","136.00","134.56","0.69%"
"2020- 03- 18","134.38","135.88","136.00","134.48","-1.23%"
"2020- 03- 17","136.06","140.00","140.00","135.66","-1.45%"
"2020- 03- 16","138.06","136.66","138.38","136.66","1.66%"
"2020- 03- 13","135.80","136.12","137.12","135.78","-0.80%"
"2020- 03- 12","136.89","138.47","138.89","136.73","-0.18%"
"2020- 03- 11","137.14","137.62","138.38","136.64","-0.30%"
"2020- 03- 10","137.55","137.78","138.75","137.00","-1.26%"
"2020- 03- 09","139.30","138.55","140.70","138.50","0.91%"
"2020- 03- 06","138.05","136.80","138.48","136.70","0.94%"
"2020- 03- 05","136.77","135.75","136.94","135.67","0.38%"
"2020- 03- 04","136.25","136.14","136.64","135.67","0.18%"
"2020- 03- 03","136.00","134.55","136.95","134.48","0.54%"
"2020- 03- 02","135.27","135.03","135.84","134.58","0.32%"
"2020- 02- 28","134.84","133.70","134.98","133.55","1.05%"
"2020- 02- 27","133.44","133.09","133.97","133.02","0.08%"
"2020- 02- 26","133.33","132.91","133.41","132.70","0.16%"
"2020- 02- 25","133.12","132.73","133.33","132.34","0.35%"
"2020- 02- 24","132.66","132.20","132.89","132.09","0.61%"
"2020- 02- 21","131.86","131.50","132.14","131.44","0.32%"
"2020- 02- 20","131.44","131.09","131.59","130.94","0.27%"
"2020- 02- 19","131.08","131.17","131.25","130.94","-0.09%"
"2020- 02- 18","131.20","130.94","131.39","130.83","0.11%"
"2020- 02- 17","131.05","130.91","131.10","130.84","0.11%"
"2020- 02- 16","130.91","130.93","130.95","130.85","-0.05%"
"2020- 02- 14","130.98","130.73","131.12","130.73","0.16%"
"2020- 02- 13","130.77","130.66","131.17","130.64","0.06%"
"2020- 02- 12","130.69","130.89","130.94","130.61","-0.24%"
"2020- 02- 11","131.00","131.12","131.19","130.88","-0.27%"
"2020- 02- 10","131.36","131.09","131.39","130.89","0.21%"
"2020- 02- 07","131.08","130.55","131.14","130.52","0.40%"
"2020- 02- 06","130.56","130.55","130.66","130.22","0.01%"
"2020- 02- 05","130.55","130.92","131.14","130.36","-0.26%"
"2020- 02- 04","130.89","131.55","131.64","130.75","-0.52%"
"2020- 02- 03","131.58","131.86","131.91","131.12","-0.06%"
"2020- 01- 31","131.66","131.02","131.83","130.94","0.27%"
"2020- 01- 30","131.31","131.06","131.53","131.00","0.22%"
"2020- 01- 29","131.02","130.52","131.16","130.42","0.31%"
"2020- 01- 28","130.61","130.81","131.19","130.45","-0.21%"
"2020- 01- 27","130.89","130.58","130.97","130.53","0.47%"
"2020- 01- 24","130.28","129.81","130.38","129.59","0.39%"
"2020- 01- 23","129.78","129.55","130.03","129.55","0.18%"
"2020- 01- 22","129.55","129.53","129.62","129.38","-0.02%"
"2020- 01- 21","129.58","129.12","129.61","129.11","0.33%"
"2020- 01- 20","129.16","129.15","129.18","129.10","0.01%"
"2020- 01- 19","129.15","129.14","129.16","129.12","0.08%"
"2020- 01- 17","129.05","129.11","129.22","128.91","-0.09%"
"2020- 01- 16","129.16","129.36","129.44","129.08","-0.14%"
"2020- 01- 15","129.34","129.17","129.44","129.12","0.15%"
"2020- 01- 14","129.14","128.92","129.23","128.78","0.17%"
"2020- 01- 13","128.92","129.11","129.11","128.81","-0.12%"
"2020- 01- 10","129.08","128.86","129.17","128.77","0.15%"
"2020- 01- 09","128.89","128.77","128.94","128.55","0.09%"
"2020- 01- 08","128.77","129.25","130.19","128.73","-0.30%"
"2020- 01- 07","129.16","129.23","129.39","129.14","-0.07%"
"2020- 01- 06","129.25","129.50","129.66","129.16","-0.11%"
"2020- 01- 03","129.39","128.66","129.44","128.62","0.60%"
"2020- 01- 02","128.62","128.30","128.92","128.16","0.26%"
"2020- 01- 01","128.29","128.27","128.34","128.24","-0.10%"
