시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
,,,~ 2018-11-09,~ 2018-11-14,,,,,
코스닥 상장추진,아주IB투자,2018-10-16,   2018-11-06,   2018-11-13,2018-11-16,"1,500","29,280",2018-11-21,미래에셋증권 주식회사
,,,~ 2018-11-07,~ 2018-11-14,,,,,
유가증권 상장추진,아시아나IDT,2018-10-16,   2018-11-07,   2018-11-14,2018-11-19,"15,000","39,600",2018-11-23,KB증권㈜
,,,~ 2018-11-08,~ 2018-11-15,,,,,
코스닥 상장추진,파멥신,2018-10-12,   2018-11-05,   2018-11-12,2018-11-15,"60,000","48,000",2018-11-21,"KB증권㈜,삼성증권㈜"
,,,~ 2018-11-06,~ 2018-11-13,,,,,
코스닥 상장추진,디알젬,2018-10-12,   2018-11-05,   2018-11-12,2018-11-15,"6,500","9,750",2018-11-22,한국투자증권㈜
,,,~ 2018-11-06,~ 2018-11-13,,,,,
코스닥 상장추진,디케이앤디,2018-10-11,   2018-11-02,   2018-11-07,2018-11-12,"6,000","10,800",2018-11-20,키움증권㈜
,,,~ 2018-11-05,~ 2018-11-08,,,,,
코스닥 상장추진,에이치앤비디자인,2018-10-10,   2018-11-01,   2018-11-07,2018-11-12,"10,100","4,010",2018-11-15,대신증권㈜
,,,~ 2018-11-02,~ 2018-11-08,,,,,
코스닥 상장추진,노바렉스,2018-10-08,   2018-10-30,   2018-11-05,2018-11-07,"19,000","18,240",2018-11-14,엔에이치투자증권주식회사
,,,~ 2018-10-31,~ 2018-11-06,,,,,
코스닥 상장추진,윙입푸드,2018-09-28,   2018-11-14,   2018-11-21,2018-11-26,"2,000","20,400",2018-11-30,유진투자증권㈜
,,,~ 2018-11-15,~ 2018-11-22,,,,,
코스닥 상장추진,셀리버리,2018-09-20,   2018-10-22,   2018-10-29,2018-11-01,"25,000","28,500",2018-11-09,DB금융투자주식회사
,,,~ 2018-10-23,~ 2018-10-30,,,,,
코스닥 상장추진,대보마그네틱,2018-09-19,   2018-10-18,   2018-10-25,2018-10-30,"31,000","25,420",2018-11-06,한국투자증권㈜
,,,~ 2018-10-19,~ 2018-10-26,,,,,
코스닥 상장추진,네온테크,2018-09-18,   2018-10-17,   2018-10-22,2018-10-25,"2,000","8,000",2018-10-31,DB금융투자주식회사
,,,~ 2018-10-18,~ 2018-10-23,,,,,
코스닥 상장추진,로보티즈,2018-09-11,   2018-10-10,   2018-10-17,2018-10-22,"14,000","23,800",2018-10-26,미래에셋증권 주식회사
,,,~ 2018-10-11,~ 2018-10-18,,,,,
코스닥 상장추진,엘앤씨바이오,2018-09-06,   2018-10-16,   2018-10-23,2018-10-26,"24,000","24,000",2018-11-01,한국투자증권㈜
,,,~ 2018-10-17,~ 2018-10-24,,,,,
코스닥 상장추진,노바텍,2018-09-06,   2018-10-16,   2018-10-23,2018-10-26,"10,000","11,600",2018-11-02,하나증권주식회사
,,,~ 2018-10-17,~ 2018-10-24,,,,,
코스닥 상장추진,에스퓨얼셀,2018-08-27,   2018-09-18,   2018-10-01,2018-10-05,"16,500","31,185",2018-10-15,한국투자증권㈜
,,,~ 2018-09-19,~ 2018-10-02,,,,,
코스닥 상장추진,푸드나무,2018-08-21,   2018-09-11,   2018-09-18,2018-09-21,"24,000","37,339",2018-10-04,미래에셋증권 주식회사
,,,~ 2018-09-12,~ 2018-09-19,,,,,
유가증권 상장추진,하나제약,2018-08-20,   2018-09-10,   2018-09-17,2018-09-20,"26,000","106,118",2018-10-02,미래에셋증권 주식회사
,,,~ 2018-09-11,~ 2018-09-18,,,,,
코스닥 상장추진,지티지웰니스,2018-08-20,   2018-09-04,   2018-09-12,2018-09-17,"11,000","8,800",2018-09-21,대신증권㈜
,,,~ 2018-09-05,~ 2018-09-13,,,,,
코스닥 상장추진,더블유에스아이,2018-08-17,   2018-09-10,   2018-09-13,2018-09-17,"2,000","8,000",2018-09-21,IBK투자증권㈜
,,,~ 2018-09-11,~ 2018-09-14,,,,,
코스닥 상장추진,나우IB,2018-08-17,   2018-09-10,   2018-09-17,2018-09-20,"8,500","21,250",2018-10-04,신영증권㈜
,,,~ 2018-09-11,~ 2018-09-18,,,,,
코스닥 상장추진,크리스에프앤씨,2018-08-16,   2018-09-11,   2018-09-17,2018-09-20,"30,000","105,480",2018-10-01,KB증권㈜
,,,~ 2018-09-12,~ 2018-09-18,,,,,
코스닥 상장추진,옵티팜,2018-08-14,   2018-10-11,   2018-10-16,2018-10-19,"10,000","29,459",2018-10-26,엔에이치투자증권주식회사
,,,~ 2018-10-12,~ 2018-10-17,,,,,
유가증권 상장추진,우진아이엔에스,2018-08-08,   2018-08-30,   2018-09-05,2018-09-10,"15,000","31,500",2018-09-14,신영증권㈜
,,,~ 2018-08-31,~ 2018-09-06,,,,,
코스닥 상장추진,엔피,2018-08-07,   2018-08-27,   2018-09-03,2018-09-06,"2,000","13,000",2018-09-13,삼성증권㈜
,,,~ 2018-08-28,~ 2018-09-04,,,,,
코스닥 상장추진,명성티엔에스,2018-08-06,   2018-08-29,   2018-09-04,2018-09-07,"20,000","38,400",2018-09-13,KB증권㈜
,,,~ 2018-08-30,~ 2018-09-05,,,,,
코스닥 상장추진,디지캡,2018-08-06,   2018-08-22,   2018-08-28,2018-08-31,"12,000","7,013",2018-09-07,KB증권㈜
,,,~ 2018-08-23,~ 2018-08-29,,,,,
코스닥 상장추진,지니틱스,2018-07-25,   2018-08-16,   2018-08-21,2018-08-24,"2,000","7,000",2018-08-30,대신증권㈜
,,,~ 2018-08-17,~ 2018-08-22,,,,,
코스닥 상장추진,오파스넷,2018-07-19,   2018-08-06,   2018-08-13,2018-08-17,"11,000","11,088",2018-08-24,교보증권㈜
,,,~ 2018-08-07,~ 2018-08-14,,,,,
코스닥 상장추진,액트로,2018-07-17,   2018-08-09,   2018-08-16,2018-08-21,"20,000","24,000",2018-08-28,키움증권㈜
,,,~ 2018-08-10,~ 2018-08-17,,,,,
코스닥 상장추진,에이피티씨,2018-07-16,   2018-08-07,   2018-08-13,2018-08-17,"9,000","16,560",2018-08-23,대신증권㈜
,,,~ 2018-08-08,~ 2018-08-14,,,,,
코스닥 상장추진,바이오솔루션,2018-07-11,   2018-08-02,   2018-08-09,2018-08-13,"29,000","43,500",2018-08-20,한국투자증권㈜
,,,~ 2018-08-03,~ 2018-08-10,,,,,
코스닥 상장추진,대유,2018-06-29,   2018-07-24,   2018-08-01,2018-08-06,"9,000","27,720",2018-08-10,KB증권㈜
,,,~ 2018-07-25,~ 2018-08-02,,,,,
코스닥 상장추진,휴네시온,2018-06-27,   2018-07-19,   2018-07-25,2018-07-30,"10,000","13,905",2018-08-02,엔에이치투자증권주식회사
,,,~ 2018-07-20,~ 2018-07-26,,,,,
유가증권 상장추진,신한알파리츠,2018-06-27,-,   2018-07-25,2018-07-31,"5,000","114,000",2018-08-08,신한투자증권 주식회사
,,,,~ 2018-07-27,,,,,
코스닥 상장추진,디아이티,2018-06-27,   2018-07-18,   2018-07-25,2018-07-30,"10,000","37,575",2018-08-07,삼성증권㈜
,,,~ 2018-07-19,~ 2018-07-26,,,,,
유가증권 상장추진,티웨이항공,2018-06-25,   2018-07-17,   2018-07-23,2018-07-26,"12,000","192,000",2018-08-01,"신한투자증권 주식회사,대신증권㈜"
,,,~ 2018-07-18,~ 2018-07-24,,,,,
코스닥 상장추진,에스에스알,2018-06-25,   2018-07-19,   2018-07-26,2018-07-31,"9,000","12,780",2018-08-06,하나증권주식회사
,,,~ 2018-07-20,~ 2018-07-27,,,,,
유가증권 상장추진,롯데정보통신,2018-06-20,   2018-07-11,   2018-07-17,2018-07-20,"29,800","127,723",2018-07-27,미래에셋증권 주식회사
,,,~ 2018-07-12,~ 2018-07-18,,,,,
코스닥 상장추진,한국유니온제약,2018-06-12,   2018-07-09,   2018-07-17,2018-07-20,"18,000","27,000",2018-07-26,DB금융투자주식회사
,,,~ 2018-07-10,~ 2018-07-18,,,,,
코스닥 상장추진,알로이스,2018-06-12,   2018-07-05,   2018-07-11,2018-07-16,"2,000","5,000",2018-07-20,IBK투자증권㈜
,,,~ 2018-07-06,~ 2018-07-12,,,,,
코스닥 상장추진,올릭스,2018-06-05,   2018-07-02,   2018-07-09,2018-07-12,"36,000","43,200",2018-07-18,엔에이치투자증권주식회사
,,,~ 2018-07-03,~ 2018-07-10,,,,,
코스닥 상장추진,그리티,2018-06-05,   2018-07-05,   2018-07-12,2018-07-17,"11,500","28,963",2018-07-23,대신증권㈜
,,,~ 2018-07-06,~ 2018-07-13,,,,,
코스닥 상장추진,SV인베스트먼트,2018-05-29,   2018-06-21,   2018-06-27,2018-07-02,"7,000","27,300",2018-07-06,미래에셋증권 주식회사
,,,~ 2018-06-22,~ 2018-06-28,,,,,
코스닥 상장추진,아이큐어,2018-05-25,   2018-06-28,   2018-07-04,2018-07-09,"65,000","78,000",2018-07-12,키움증권㈜
,,,~ 2018-06-29,~ 2018-07-05,,,,,
코스닥 상장추진,EDGC,2018-05-16,   2018-06-11,   2018-06-18,2018-06-21,"6,500","46,800",2018-06-26,SK증권㈜
,,,~ 2018-06-12,~ 2018-06-19,,,,,
유가증권 상장추진,이리츠코크렙,2018-05-15,   2018-06-07,   2018-06-12,2018-06-19,"5,000","79,107",2018-06-27,엔에이치투자증권주식회사
,,,~ 2018-06-08,~ 2018-06-15,,,,,
코스닥 상장추진,파워넷,2018-04-30,   2018-05-24,   2018-05-29,2018-05-31,"6,500","23,210",2018-06-07,DB금융투자주식회사
,,,~ 2018-05-25,~ 2018-05-30,,,,,
코스닥 상장추진,카이노스메드,2018-04-26,   2018-05-23,   2018-05-29,2018-06-01,"2,000","9,000",2018-06-08,하나증권주식회사
,,,~ 2018-05-24,~ 2018-05-30,,,,,
코스닥 상장추진,세종메디칼,2018-04-19,   2018-05-14,   2018-05-18,2018-05-23,"15,000","30,450",2018-05-29,한국투자증권㈜
,,,~ 2018-05-15,~ 2018-05-21,,,,,
코스닥 상장추진,카나리아바이오,2018-04-13,   2018-05-16,   2018-05-23,2018-05-28,"6,600","10,073",2018-06-01,신한투자증권 주식회사
,,,~ 2018-05-17,~ 2018-05-24,,,,,
코스닥 상장추진,제노레이,2018-04-10,   2018-05-09,   2018-05-16,2018-05-21,"23,000","13,845",2018-05-28,한국투자증권㈜
,,,~ 2018-05-10,~ 2018-05-17,,,,,
유가증권 상장추진,에스케이엔무브,2018-04-03,   2018-04-25,   2018-05-03,2018-05-08,-,-,2018-05-14,"한국투자증권㈜,삼성증권㈜"
,,,~ 2018-04-26,~ 2018-05-04,,,,,
코스닥 상장추진,한국제7호스팩,2018-03-29,   2018-04-24,   2018-05-02,2018-05-04,"2,000","8,500",2018-05-11,한국투자증권㈜
,,,~ 2018-04-25,~ 2018-05-03,,,,,
코스닥 상장추진,JTC,2018-03-23,   2018-03-20,   2018-03-26,2018-03-29,"8,500","89,542",2018-04-06,삼성증권㈜
,,,~ 2018-03-21,~ 2018-03-27,,,,,
코스닥 상장추진,네오셈,2018-02-26,   2018-03-21,   2018-03-26,2018-03-29,"2,000","10,000",2018-04-04,대신증권㈜
,,,~ 2018-03-22,~ 2018-03-27,,,,,
코스닥 상장추진,케어랩스,2018-02-13,   2018-03-12,   2018-03-19,2018-03-22,"20,000","26,000",2018-03-28,한국투자증권㈜
,,,~ 2018-03-13,~ 2018-03-20,,,,,
유가증권 상장추진,애경산업,2018-02-08,   2018-03-07,   2018-03-13,2018-03-16,"29,100","197,880",2018-03-22,대신증권㈜
,,,~ 2018-02-08,~ 2018-03-14,,,,,
코스닥 상장추진,유네코,2018-01-31,   2018-02-26,   2018-03-05,2018-03-08,"5,200","6,968",2018-03-15,"대신증권㈜,한화투자증권㈜"
,,,~ 2018-03-27,~ 2018-03-06,,,,,
코스닥 상장추진,린드먼아시아,2018-01-26,   2018-02-26,   2018-03-05,2018-03-08,"6,500","22,087",2018-03-14,키움증권㈜
,,,~ 2018-02-27,~ 2018-03-06,,,,,
코스닥 상장추진,엔지켐생명과학,2018-01-22,   2018-02-05,   2018-02-08,2018-02-13,"56,000","43,120",2018-02-21,한국투자증권㈜
,,,~ 2018-02-06,~ 2018-02-09,,,,,
코스닥 상장추진,오스테오닉,2018-01-16,   2018-02-01,   2018-02-08,2018-02-13,"7,700","9,240",2018-02-22,키움증권㈜
,,,~ 2018-02-02,~ 2018-02-09,,,,,
코스닥 상장추진,동구바이오제약,2018-01-08,   2018-01-30,   2018-02-05,2018-02-07,"16,000","33,106",2018-02-13,엔에이치투자증권주식회사
,,,~ 2018-01-31,~ 2018-02-06,,,,,
코스닥 상장추진,아시아종묘,2018-01-05,   2018-01-29,   2018-02-01,2018-02-06,"4,500","4,500",2018-02-12,대신증권㈜
,,,~ 2018-01-30,~ 2018-02-02,,,,,
코스닥 상장추진,알리코제약,2017-12-28,   2018-01-25,   2018-02-01,2018-02-06,"12,000","28,200",2018-02-12,IBK투자증권㈜
,,,~ 2018-01-26,~ 2018-02-02,,,,,
코스닥 상장추진,링크제니시스,2017-12-22,   2018-01-18,   2018-01-25,2018-01-30,"30,000","9,000",2018-02-05,하나증권주식회사
,,,~ 2018-01-19,~ 2018-01-26,,,,,
코스닥 상장추진,제이시스메디칼,2017-12-21,   2018-04-18,   2018-04-25,2018-04-30,"2,000","7,000",2018-05-08,유안타증권㈜
,,,~ 2018-04-19,~ 2018-04-26,,,,,
코스닥 상장추진,카페24,2017-12-15,   2018-01-23,   2018-01-30,2018-02-02,"57,000","51,300",2018-02-08,"미래에셋증권 주식회사,유안타증권㈜,한화투자증권㈜"
,,,~ 2018-01-24,~ 2018-01-31,,,,,
코스닥 상장추진,SG,2017-12-15,   2018-01-11,   2018-01-18,2018-01-23,"6,000","18,795",2018-01-26,대신증권㈜
,,,~ 2018-01-12,~ 2018-01-19,,,,,
코스닥 상장추진,배럴,2017-12-01,   2018-01-15,   2018-01-22,2018-01-25,"9,500","16,245",2018-02-01,하나증권주식회사
,,,~ 2018-01-16,~ 2018-01-23,,,,,
코스닥 상장추진,시스웍,2017-11-16,   2017-12-08,   2017-12-14,2017-12-19,"2,800","12,512",2017-12-26,하나증권주식회사
,,,~ 2017-12-11,~ 2017-12-15,,,,,
코스닥 상장추진,한국제6호스팩,2017-11-15,   2017-12-07,   2017-12-13,2017-12-15,"2,000","8,000",2017-12-21,한국투자증권㈜
,,,~ 2017-12-08,~ 2017-12-14,,,,,
코스닥 상장추진,디바이스이엔지,2017-11-10,   2017-12-04,   2017-12-11,2017-12-14,"12,000","16,800",2017-12-20,한국투자증권㈜
,,,~ 2017-12-05,~ 2017-12-12,,,,,
코스닥 상장추진,레이크머티리얼즈,2017-11-02,   2017-11-27,   2017-11-30,2017-12-05,"2,000","8,000",2017-12-12,DB금융투자주식회사
,,,~ 2017-11-28,~ 2017-12-01,,,,,
유가증권 상장추진,진에어,2017-10-31,   2017-11-23,   2017-11-29,2017-12-04,"31,800","381,600",2017-12-08,미래에셋증권 주식회사
,,,~ 2017-11-24,~ 2017-11-30,,,,,
코스닥 상장추진,씨티케이,2017-10-30,   2017-11-21,   2017-11-27,2017-11-30,"55,000","110,000",2017-12-07,미래에셋증권 주식회사
,,,~ 2017-11-22,~ 2017-11-28,,,,,
코스닥 상장추진,에스트래픽,2017-10-27,   2017-11-20,   2017-11-23,2017-11-28,"10,000","21,300",2017-12-05,미래에셋증권 주식회사
,,,~ 2017-11-21,~ 2017-11-24,,,,,
유가증권 상장추진,동양피스톤,2017-10-27,   2017-11-22,   2017-11-28,2017-12-01,"5,700","18,810",2017-12-08,"대신증권㈜,IBK투자증권㈜"
,,,~ 2017-11-23,~ 2017-11-29,,,,,
코스닥 상장추진,체리부로,2017-10-26,   2017-11-16,   2017-11-22,2017-11-27,"4,700","28,914",2017-12-04,미래에셋증권 주식회사
,,,~ 2017-11-17,~ 2017-11-23,,,,,
코스닥 상장추진,메카로,2017-10-26,   2017-11-21,   2017-11-27,2017-11-30,"33,000","66,000",2017-12-06,한국투자증권㈜
,,,~ 2017-11-22,~ 2017-11-28,,,,,
코스닥 상장추진,비즈니스온,2017-10-24,   2017-11-15,   2017-11-21,2017-11-24,"9,000","17,082",2017-11-30,KB증권㈜
,,,~ 2017-11-16,~ 2017-11-22,,,,,
유가증권 상장추진,삼양패키징,2017-10-20,   2017-11-13,   2017-11-20,2017-11-23,"26,000","119,482",2017-11-29,한국투자증권㈜
,,,~ 2017-11-14,~ 2017-11-21,,,,,
코스닥 상장추진,대원,2017-10-20,   2017-11-16,   2017-11-23,2017-11-27,"15,000","30,000",2017-12-01,신한투자증권 주식회사
,,,~ 2017-11-17,~ 2017-11-24,,,,,
코스닥 상장추진,스튜디오드래곤,2017-10-18,   2017-11-09,   2017-11-16,2017-11-21,"35,000","210,000",2017-11-24,미래에셋증권 주식회사
,,,~ 2017-11-10,~ 2017-11-17,,,,,
코스닥 상장추진,한화에이스스팩4호,2017-10-13,   2017-11-09,   2017-11-16,2017-11-21,"2,000","6,300",2017-11-27,한화투자증권㈜
,,,~ 2017-11-10,~ 2017-11-17,,,,,
코스닥 상장추진,IBKS제7호스팩,2017-09-28,   2017-10-30,   2017-11-02,2017-11-06,"2,000","7,000",2017-11-10,IBK투자증권㈜
,,,~ 2017-10-31,~ 2017-11-03,,,,,
코스닥 상장추진,비디아이,2017-09-27,   2017-10-23,   2017-10-30,2017-11-02,"10,000","13,500",2017-11-09,신영증권㈜
,,,~ 2017-10-24,~ 2017-10-31,,,,,
코스닥 상장추진,코오롱티슈진,2017-09-08,   2017-10-17,   2017-10-23,2017-10-26,"27,000","202,500",2017-11-06,엔에이치투자증권주식회사
,,,~ 2017-10-18,~ 2017-10-24,,,,,
코스닥 상장추진,영화테크,2017-09-08,   2017-10-11,   2017-10-17,2017-10-20,"12,500","8,800",2017-10-26,신한투자증권 주식회사
,,,~ 2017-10-12,~ 2017-10-18,,,,,
유가증권 상장추진,테이팩스,2017-09-07,   2017-10-17,   2017-10-24,2017-10-27,"23,000","38,180",2017-10-31,"신한투자증권 주식회사,KB증권㈜"
,,,~ 2017-10-18,~ 2017-10-25,,,,,
코스닥 상장추진,신한제4호스팩,2017-09-05,   2017-09-27,   2017-10-12,2017-10-16,"2,000","10,000",2017-10-20,신한투자증권 주식회사
,,,~ 2017-09-28,~ 2017-10-13,,,,,
코스닥 상장추진,폴라리스세원,2017-08-31,   2017-09-26,   2017-10-12,2017-10-16,"5,700","6,270",2017-10-20,현대차증권주식회사
,,,~ 2017-09-27,~ 2017-10-13,,,,,
코스닥 상장추진,상신전자,2017-08-28,   2017-09-20,   2017-09-26,2017-09-29,"13,300","9,310",2017-10-16,미래에셋증권 주식회사
,,,~ 2017-09-21,~ 2017-09-27,,,,,
코스닥 상장추진,인산가,2017-08-24,   2017-09-18,   2017-09-21,2017-09-25,"2,000","4,000",2017-09-29,IBK투자증권㈜
,,,~ 2017-09-19,~ 2017-09-22,,,,,
코스닥 상장추진,휴엠앤씨,2017-08-23,   2017-09-14,   2017-09-19,2017-09-22,"5,100","10,200",2017-09-28,대신증권㈜
,,,~ 2017-09-15,~ 2017-09-20,,,,,
코스닥 상장추진,야스,2017-08-23,   2017-09-14,   2017-09-21,2017-09-25,"23,500","54,050",2017-09-29,한국투자증권㈜
,,,~ 2017-09-15,~ 2017-09-22,,,,,
코스닥 상장추진,유티아이,2017-08-18,   2017-09-11,   2017-09-18,2017-09-21,"25,000","22,400",2017-09-27,한국투자증권㈜
,,,~ 2017-09-12,~ 2017-09-19,,,,,
코스닥 상장추진,신흥에스이씨,2017-08-18,   2017-09-11,   2017-09-18,2017-09-21,"16,000","33,600",2017-09-27,삼성증권㈜
,,,~ 2017-09-12,~ 2017-09-19,,,,,
코스닥 상장추진,엠플러스,2017-08-14,   2017-09-06,   2017-09-11,2017-09-14,"18,000","22,500",2017-09-20,키움증권㈜
,,,~ 2017-09-07,~ 2017-09-12,,,,,
코스닥 상장추진,선익시스템,2017-08-10,   2017-09-04,   2017-09-11,2017-09-14,"37,000","55,500",2017-09-20,대신증권㈜
,,,~ 2017-09-05,~ 2017-09-12,,,,,
코스닥 상장추진,어스앤에어로스페이스,2017-08-08,   2017-08-31,   2017-09-07,2017-09-12,"11,000","16,500",2017-09-15,"한국투자증권㈜,대신증권㈜"
,,,~ 2017-09-01,~ 2017-09-08,,,,,
코스닥 상장추진,앱클론,2017-08-08,   2017-08-31,   2017-09-07,2017-09-12,"10,000","6,807",2017-09-18,엔에이치투자증권주식회사
,,,~ 2017-09-01,~ 2017-09-08,,,,,
코스닥 상장추진,케이피에스,2017-08-04,   2017-08-23,   2017-08-28,2017-08-31,"14,000","15,110",2017-09-06,키움증권㈜
,,,~ 2017-08-24,~ 2017-08-29,,,,,
코스닥 상장추진,펄어비스,2017-08-03,   2017-08-29,   2017-09-05,2017-09-08,"103,000","185,400",2017-09-14,한국투자증권㈜
,,,~ 2017-08-30,~ 2017-09-06,,,,,
코스닥 상장추진,덕우전자,2017-07-18,   2017-08-09,   2017-08-17,2017-08-22,"15,500","38,750",2017-08-28,한국투자증권㈜
,,,~ 2017-08-10,~ 2017-08-18,,,,,
코스닥 상장추진,지엔원에너지,2017-07-14,   2017-08-07,   2017-08-10,2017-08-16,"2,000","8,000",2017-08-22,하나증권주식회사
,,,~ 2017-08-08,~ 2017-08-11,,,,,
코스닥 상장추진,케일럼,2017-07-12,   2017-08-03,   2017-08-09,2017-08-14,"5,000","11,100",2017-08-22,신영증권㈜
,,,~ 2017-08-04,~ 2017-08-10,,,,,
코스닥 상장추진,와이즈버즈,2017-06-30,   2017-07-24,   2017-07-27,2017-08-01,"2,000","13,000",2017-08-07,엔에이치투자증권주식회사
,,,~ 2017-07-25,~ 2017-07-28,,,,,
코스닥 상장추진,알에스오토메이션,2017-06-30,   2017-07-24,   2017-07-31,2017-08-03,"6,000","14,628",2017-08-11,미래에셋증권 주식회사
,,,~ 2017-07-25,~ 2017-08-01,,,,,
코스닥 상장추진,모트렉스,2017-06-28,   2017-07-20,   2017-07-27,2017-07-31,"38,300","68,940",2017-08-04,미래에셋증권 주식회사
,,,~ 2017-07-21,~ 2017-07-28,,,,,
코스닥 상장추진,디앤씨미디어,2017-06-26,   2017-07-19,   2017-07-24,2017-07-27,"20,000","20,140",2017-08-01,키움증권㈜
,,,~ 2017-07-20,~ 2017-07-25,,,,,
코스닥 상장추진,데이타솔루션,2017-06-22,   2017-07-18,   2017-07-24,2017-07-27,"3,300","15,180",2017-08-03,미래에셋증권 주식회사
,,,~ 2017-07-19,~ 2017-07-25,,,,,
코스닥 상장추진,지니언스,2017-06-20,   2017-07-17,   2017-07-24,2017-07-27,"13,500","11,205",2017-08-02,하나증권주식회사
,,,~ 2017-07-18,~ 2017-07-25,,,,,
코스닥 상장추진,한국제5호스팩,2017-06-16,   2017-07-10,   2017-07-13,2017-07-18,"2,000","7,000",2017-07-24,한국투자증권㈜
,,,~ 2017-07-11,~ 2017-07-14,,,,,
코스닥 상장추진,이즈미디어,2017-06-15,   2017-07-10,   2017-07-17,2017-07-20,"7,500","11,400",2017-07-26,한국투자증권㈜
,,,~ 2017-07-11,~ 2017-07-18,,,,,
코스닥 상장추진,힘스,2017-06-09,   2017-07-04,   2017-07-11,2017-07-14,"20,000","16,000",2017-07-20,"KB증권㈜,SK증권㈜"
,,,~ 2017-07-05,~ 2017-07-12,,,,,
코스닥 상장추진,컬러레이,2017-06-09,   2017-07-25,   2017-07-31,2017-08-03,"3,800","53,200",2017-08-10,신한투자증권 주식회사
,,,~ 2017-07-26,~ 2017-08-01,,,,,
코스닥 상장추진,셀트리온헬스케어,2017-06-07,   2017-07-13,   2017-07-19,2017-07-24,"41,000","1,008,764",2017-07-28,미래에셋증권 주식회사
,,,~ 2017-07-14,~ 2017-07-20,,,,,
코스닥 상장추진,브이원텍,2017-06-01,   2017-06-26,   2017-07-03,2017-07-06,"17,700","32,373",2017-07-13,미래에셋증권 주식회사
,,,~ 2017-06-27,~ 2017-07-04,,,,,
코스닥 상장추진,아우딘퓨쳐스,2017-05-30,   2017-06-27,   2017-07-03,2017-07-06,"26,000","26,000",2017-07-12,하나증권주식회사
,,,~ 2017-06-28,~ 2017-07-04,,,,,
코스닥 상장추진,덴티스,2017-05-18,   2017-06-12,   2017-06-15,2017-06-20,"2,000","8,000",2017-06-26,하나증권주식회사
,,,~ 2017-06-13,~ 2017-06-16,,,,,
코스닥 상장추진,하림지주,2017-05-15,   2017-06-12,   2017-06-19,2017-06-22,"20,700","421,887",2017-06-30,"신한투자증권 주식회사,KB증권㈜"
,,,~ 2017-06-13,~ 2017-06-20,,,,,
코스닥 상장추진,나인테크,2017-05-12,   2017-06-08,   2017-06-13,2017-06-16,"2,000","7,580",2017-06-22,교보증권㈜
,,,~ 2017-06-09,~ 2017-06-14,,,,,
코스닥 상장추진,보라티알,2017-04-25,   2017-05-23,   2017-05-29,2017-06-01,"14,300","24,134",2017-06-08,대신증권㈜
,,,~ 2017-05-24,~ 2017-05-30,,,,,
코스닥 상장추진,한화수성스팩,2017-04-21,   2017-05-24,   2017-05-29,2017-06-01,"2,000","8,000",2017-06-08,한화투자증권㈜
,,,~ 2017-05-25,~ 2017-05-30,,,,,
코스닥 상장추진,삼양옵틱스,2017-04-18,   2017-05-18,   2017-05-23,2017-05-26,"16,700","66,800",2017-06-02,미래에셋증권 주식회사
,,,~ 2017-05-19,~ 2017-05-24,,,,,
코스닥 상장추진,필옵틱스,2017-04-17,   2017-05-17,   2017-05-23,2017-05-26,"48,000","55,680",2017-06-01,신한투자증권 주식회사
,,,~ 2017-05-18,~ 2017-05-24,,,,,
코스닥 상장추진,미래에셋대우스팩1호,2017-04-11,   2017-05-10,   2017-05-16,2017-05-19,"2,000","8,000",2017-05-26,미래에셋증권 주식회사
,,,~ 2017-05-11,~ 2017-05-17,,,,,
코스닥 상장추진,이랜시스,2017-04-06,   2017-05-15,   2017-05-22,2017-05-25,"2,000","8,000",2017-06-01,IBK투자증권㈜
,,,~ 2017-05-16,~ 2017-05-23,,,,,
코스닥 상장추진,포인트엔지니어링,2017-03-27,   2017-04-17,   2017-04-20,2017-04-25,"2,000","13,000",2017-05-02,엔에이치투자증권주식회사
,,,~ 2017-04-18,~ 2017-04-21,,,,,
유가증권 상장추진,오렌지라이프,2017-03-23,   2017-04-06,   2017-04-27,2017-05-04,"33,000","1,105,500",2017-05-11,"삼성증권㈜,모건스탠리 인터내셔날증권회사 서울지점"
,,,~ 2017-04-21,~ 2017-04-28,,,,,
코스닥 상장추진,하나머티리얼즈,2017-03-21,   2017-04-12,   2017-04-18,2017-04-21,"12,000","23,280",2017-04-28,"대신증권㈜,엔에이치투자증권주식회사"
,,,~ 2017-04-13,~ 2017-04-19,,,,,
코스닥 상장추진,소프트캠프,2017-03-21,   2017-04-12,   2017-04-18,2017-04-21,"2,000","6,000",2017-04-27,KB증권㈜
,,,~ 2017-04-13,~ 2017-04-19,,,,,
코스닥 상장추진,와이엠티,2017-03-20,   2017-04-11,   2017-04-18,2017-04-21,"21,000","11,815",2017-04-27,하나증권주식회사
,,,~ 2017-04-12,~ 2017-04-19,,,,,
유가증권 상장추진,넷마블,2017-03-20,   2017-04-11,   2017-04-25,2017-04-28,"157,000","2,661,717",2017-05-12,"엔에이치투자증권주식회사,제이피모간증권회사 서울지점"
,,,~ 2017-04-20,~ 2017-04-26,,,,,
코스닥 상장추진,한화에이스스팩3호,2017-03-17,   2017-04-13,   2017-04-20,2017-04-25,"2,000","5,500",2017-05-02,한화투자증권㈜
,,,~ 2017-04-14,~ 2017-04-21,,,,,
코스닥 상장추진,이엘피,2017-03-08,   2017-03-23,   2017-03-28,2017-03-31,"20,000","16,000",2017-04-06,엔에이치투자증권주식회사
