(단위 : 천원),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),,영업이익,,당기순이익,
,,,(재무),(재무),,,,,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
다보링크,340360,2019-12-19,2022,12월,통신 및 방송 장비 제조업,"35,142,543","15,119,260","20,023,283","64,859,342",-16,"-2,434,222","-3,186","-5,241,781",61
신테카바이오,226330,2019-12-17,2022,12월,소프트웨어 개발 및 공급업,"56,452,697","23,960,194","32,492,503","243,992",-22,"-10,788,278",-21,"-3,480,645",76
제이엘케이,322510,2019-12-11,2022,12월,소프트웨어 개발 및 공급업,"36,535,969","19,550,164","16,985,805","3,413,448",-10,"-7,333,913",-5,"-9,382,669",-30
태웅로직스,124560,2019-12-10,2022,12월,기타 운송관련 서비스업,"324,040,271","131,051,953","192,988,318","1,177,500,429",35,"102,078,466",36,"83,146,305",37
윙스풋,335870,2019-12-09,2022,12월,"섬유, 의복, 신발 및 가죽제품 소매업","47,068,813","21,609,777","25,459,036","54,337,267",9,"3,706,705",19,"-16,757,091",-957
리메드,302550,2019-12-06,2022,12월,의료용 기기 제조업,"79,346,390","47,944,866","31,401,524","21,322,332",5,"2,290,947",25,"4,746,922",209
노드메이슨,317860,2019-12-06,2022,12월,기타 화학제품 제조업,"24,649,620","12,051,022","12,598,599","15,103,694",-18,"-1,919,447",-300,"-2,533,979","-1,947"
SK5호스팩,337450,2019-12-04,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
비올,335890,2019-12-03,2022,12월,의료용 기기 제조업,"44,565,580","5,152,194","39,413,386","31,108,305",69,"13,383,728",135,"11,947,644",169
타스컴,336040,2019-12-02,2022,12월,자연과학 및 공학 연구개발업,"9,089,272","4,289,809","4,799,463","9,012,254",-12,"-4,622,724",-50,"-4,695,289",88
코리아센터,290510,2019-11-29,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
진코스텍,250030,2019-11-29,2022,12월,기타 화학제품 제조업,"32,922,772","27,045,244","5,877,528","17,600,849",18,"-3,194,190",-16,"-4,656,558","-1,296"
유엑스엔,337840,2019-11-28,2022,12월,의료용 기기 제조업,"38,141,629","11,842,307","26,299,322","107,350",90,"-5,313,383",-75,"-5,474,486",-74
웨이버스,336060,2019-11-28,2022,12월,소프트웨어 개발 및 공급업,"36,184,778","11,223,699","24,961,079","38,175,785",9,"1,561,558",-64,"-8,427,415",-304
HLB바이오스텝,278650,2019-11-27,2022,12월,자연과학 및 공학 연구개발업,"161,298,796","95,577,016","65,721,780","56,636,162",20,"5,603,425",-34,"-3,360,461",-132
씨티알모빌리티,308170,2019-11-25,2022,12월,자동차 신품 부품 제조업,"261,045,349","161,327,585","99,717,764","295,033,458",6,"-4,500,976",-398,"-6,000,478",-803
티움바이오,321550,2019-11-22,2022,12월,자연과학 및 공학 연구개발업,"92,079,220","31,150,647","60,928,574","8,013,450",888,"-15,024,944",25,"-30,253,037",4
씨에스베어링,297090,2019-11-21,2022,12월,일반 목적용 기계 제조업,"140,285,233","46,899,716","93,385,517","42,898,094",-54,"-6,787,443",-777,"-9,975,157",-550
우양,103840,2019-11-20,2022,12월,"과실, 채소 가공 및 저장 처리업","151,022,589","110,953,727","40,068,862","163,412,927",17,"95,871",-95,"-2,998,798",-334
코리아에셋투자증권,190650,2019-11-20,2022,03월,금융 지원 서비스업,"302,619,399","207,062,054","95,557,345","216,605,519",35,"21,518,384",32,"16,683,068",43
HD현대에너지솔루션,322000,2019-11-19,2022,12월,반도체 제조업,"654,805,747","269,730,556","385,075,191","1,022,975,319",82,"95,989,545","1,426","64,390,770",817
에스제이그룹,306040,2019-11-18,2022,12월,"가죽, 가방 및 유사제품 제조업","168,082,821","54,790,949","113,291,872","150,354,074",28,"25,981,150",21,"21,691,370",27
제테마,216080,2019-11-14,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"188,353,598","131,406,989","56,946,609","45,993,818",38,"4,005,812",75,"1,455,004",-86
한화시스템,272210,2019-11-13,2022,12월,전자부품 제조업,"4,152,100,072","1,905,070,749","2,247,029,323","2,187,405,670",4,"93,679,890",-31,"28,545,981",-78
라파스,214260,2019-11-11,2022,12월,기타 화학제품 제조업,"82,673,108","41,011,282","41,661,826","17,657,717",8,"-5,656,630",-852,"-8,282,334",-270
아이티엠반도체,084850,2019-11-07,2022,12월,전자부품 제조업,"595,184,484","332,531,480","262,653,004","604,898,839",23,"9,154,620",-59,"11,375,697",-56
일승,333430,2019-11-06,2022,12월,선박 및 보트 건조업,"58,586,715","25,666,934","32,919,781","40,790,647",23,"1,877,504",0,"2,077,152",131
자이에스앤디,317400,2019-11-06,2022,12월,부동산 임대 및 공급업,"753,639,957","284,239,813","469,400,144","589,689,077",35,"92,750,362",82,"72,515,496",98
미디어젠,279600,2019-11-05,2022,12월,소프트웨어 개발 및 공급업,"30,773,578","14,197,936","16,575,641","17,355,906",15,"-2,038,724","-2,885","-1,863,151","-1,265"
하나금융14호스팩,332710,2019-11-01,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
티라유텍,322180,2019-10-31,2022,12월,소프트웨어 개발 및 공급업,"31,799,334","13,041,810","18,757,524","35,298,403",-10,"-2,123,521",73,"-2,934,132",66
모코엠시스,333050,2019-10-31,2022,12월,소프트웨어 개발 및 공급업,"27,010,424","8,123,881","18,886,542","23,206,668",-11,"1,547,753",-58,"-1,720,965",-157
지누스,013890,2019-10-30,2022,12월,가구 제조업,"740,602,270","262,924,064","477,678,206","269,751,716",-19,"21,819,621",-4,"2,417,491",-89
캐리소프트,317530,2019-10-29,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","12,844,887","2,302,138","10,542,749","7,837,170",109,"-1,485,685",38,"-2,511,061",1
밸로프,331520,2019-10-29,2022,12월,소프트웨어 개발 및 공급업,"29,589,932","5,638,013","23,951,919","23,625,286",68,"3,240,120",74,"1,591,648",-38
한국미라클피플사,331660,2019-10-28,2022,12월,기타 화학제품 제조업,"24,129,727","24,570,273","-440,546","29,945,359",33,"387,897",117,"-654,851",77
케이엔제이,272110,2019-10-25,2022,12월,특수 목적용 기계 제조업,"107,615,041","56,635,547","50,979,494","61,517,172",33,"12,411,535",349,"9,289,436",134
엔바이오니아,317870,2019-10-24,2022,12월,그외 기타 제품 제조업,"36,307,792","16,305,471","20,002,321","8,789,297",15,"-1,248,478",-35,"-444,979",81
팜스빌,318010,2019-10-22,2022,12월,기타 식품 제조업,"75,200,293","12,156,897","63,043,395","26,019,518",-33,"4,051,822",-34,"4,066,669",-19
솔루스첨단소재,336370,2019-10-18,2022,12월,전자부품 제조업,"520,396,348","92,281,901","428,114,447","132,773,843",0,"40,282,807",22,"39,317,266",222
두산퓨얼셀,336260,2019-10-18,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","1,026,929,716","503,865,290","523,064,426","312,148,721",-18,"7,221,936",-59,"3,863,590",-55
콘텐트리중앙,036420,2019-10-18,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","827,802,400","282,975,838","544,826,562","28,961,339",113,"-1,865,959",-28,"166,031,577",175
라온피플,300120,2019-10-18,2022,12월,소프트웨어 개발 및 공급업,"85,890,246","31,539,732","54,350,514","25,834,269",31,"3,939,543",162,"-230,930",96
아톤,158430,2019-10-17,2022,12월,소프트웨어 개발 및 공급업,"114,587,131","46,599,885","67,987,246","36,752,154",-2,"7,820,370",-8,"16,232,757","1,606"
녹십자웰빙,234690,2019-10-14,2022,12월,의약품 제조업,"150,243,171","54,078,894","96,164,276","109,729,117",20,"8,395,934",8,"8,001,050",19
누보,332290,2019-10-11,2022,12월,"비료, 농약 및 살균, 살충제 제조업","80,817,653","52,741,637","28,076,016","70,626,559",15,"-3,453,275",-895,"-5,185,891",-11
포커스에이치엔에스,331380,2019-10-02,2022,12월,영상 및 음향기기 제조업,"37,573,293","16,696,898","20,876,395","61,625,592",28,"2,664,915",-35,"2,684,915",888
엔지브이아이,093510,2019-09-30,2022,12월,자동차 신품 부품 제조업,"1,964,995","993,525","971,469","869,415",-23,"-2,118,888",-80,"-1,745,479",-76
케이비제19호스팩,330990,2019-09-30,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
올리패스,244460,2019-09-20,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"27,327,679","12,460,632","14,867,047","411,375",757,"-21,971,368",3,"-22,120,796",8
라닉스,317120,2019-09-18,2022,12월,반도체 제조업,"41,963,782","27,641,795","14,321,987","10,984,971",19,"-1,558,789",26,"-5,061,997",-99
윈텍,320000,2019-09-18,2022,12월,특수 목적용 기계 제조업,"28,736,103","6,013,232","22,722,871","20,269,062",31,"1,801,559",211,"1,770,713",164
한독크린텍,256150,2019-09-05,2022,12월,일반 목적용 기계 제조업,"59,136,056","5,662,991","53,473,064","59,149,129",12,"5,073,185",4,"5,065,116",9
아퓨어스,149300,2019-09-03,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"19,423,208","12,999,144","6,424,064","785,477",-9,"-4,350,197",12,"-5,236,804",-90
상상인이안제2호스팩,329560,2019-08-30,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
네오크레마,311390,2019-08-22,2022,12월,기타 식품 제조업,"79,685,424","29,630,648","50,054,776","23,996,910",4,"1,550,053",-21,"-888,504",-190
마니커에프앤지,195500,2019-08-20,2022,12월,"도축, 육류 가공 및 저장 처리업","103,415,035","38,600,986","64,814,049","89,362,825",5,"-1,722,244","-3,707","-262,347",-47
솔트웨어,328380,2019-08-20,2022,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","33,200,341","13,210,686","19,989,655","31,349,477",-21,"-586,602",-144,"-4,855,414",-773
나노브릭,286750,2019-08-19,2022,12월,기초 화학물질 제조업,"28,146,928","17,991,578","10,155,349","7,139,299",1,"-3,582,367",-119,"-2,609,052",7
에스피시스템스,317830,2019-08-14,2022,12월,특수 목적용 기계 제조업,"70,899,127","23,396,808","47,502,319","30,894,395",30,"772,440",179,"322,421",127
레이,228670,2019-08-08,2022,12월,의료용 기기 제조업,"190,195,279","73,093,447","117,101,832","93,078,964",35,"15,448,001","1,162","9,453,896",347
그린플러스,186230,2019-08-07,2022,12월,1차 비철금속 제조업,"89,216,604","28,815,666","60,400,937","78,522,376",3,"5,194,822",-9,"-2,978,395",26
케어룸의료산업,327970,2019-08-05,-,-,의료용 기기 제조업,0,0,0,0,0,0,0,0,0
코윈테크,282880,2019-08-05,2022,12월,특수 목적용 기계 제조업,"234,334,617","136,409,747","97,924,869","133,035,961",85,"1,440,579",-39,"-2,021,976",-153
덕산테코피아,317330,2019-08-02,2022,12월,기타 화학제품 제조업,"277,291,783","89,013,769","188,278,014","110,913,950",-1,"14,208,060",-38,"15,190,712",-16
KBG,318000,2019-08-01,2022,12월,합성고무 및 플라스틱 물질 제조업,"43,074,156","8,128,342","34,945,814","24,346,169",-10,"4,105,345",-30,"3,252,436",-18
슈프리마아이디,317770,2019-08-01,2022,12월,전자부품 제조업,"48,507,604","2,226,327","46,281,277","14,470,356",2,"2,693,569",-8,"2,967,147",-8
세경하이테크,148150,2019-07-30,2022,12월,전자부품 제조업,"169,660,276","20,864,293","148,795,983","53,620,156",-22,"1,634,416",-77,"12,614,241",6
윌링스,313760,2019-07-25,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","46,303,931","16,444,474","29,859,457","52,319,151",44,"-12,704,680",-903,"-13,923,340","-4,606"
대모,317850,2019-07-24,2022,12월,특수 목적용 기계 제조업,"68,086,762","20,974,716","47,112,045","54,123,260",14,"2,732,178","4,110","1,929,304",-51
에이스토리,241840,2019-07-19,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","99,657,394","42,224,034","57,433,360","68,373,722",16,"7,375,630",9,"3,163,749",-81
플리토,300080,2019-07-17,2022,12월,"자료처리,호스팅,포털 및 기타인터넷정보매개서비스업","23,884,526","12,103,282","11,781,244","12,481,315",38,"-6,763,898",-8,"-5,922,857",0
이베스트이안스팩1호,323210,2019-07-15,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
구스앤홈,329050,2019-07-12,-,-,직물직조 및 직물제품 제조업,0,0,0,0,0,0,0,0,0
헥토파이낸셜,234340,2019-07-12,2022,12월,기타 정보 서비스업,"323,610,218","187,361,648","136,248,571","121,638,498",16,"14,166,942",-8,"17,509,544",0
아이스크림에듀,289010,2019-07-11,2022,12월,"서적, 잡지 및 기타 인쇄물 출판업","92,690,745","25,451,276","67,239,470","133,842,492",4,"2,092,801",130,"817,713",111
펨토바이오메드,327610,2019-07-10,2022,12월,자연과학 및 공학 연구개발업,"4,071,404","11,298,865","-7,227,460","183,372",-20,"-5,718,123",-42,"-1,225,297",86
펌텍코리아,251970,2019-07-04,2022,12월,플라스틱제품 제조업,"232,838,361","34,022,265","198,816,097","173,637,037",8,"26,163,715",20,"18,894,078",16
에이에프더블류,312610,2019-07-01,2022,12월,일차전지 및 축전지 제조업,"67,418,278","1,460,646","65,957,631","4,437,379",-38,"-3,992,270",-60,"-3,368,688",20
티티씨디펜스,309900,2019-06-27,-,-,"그외 기타 전문, 과학 및 기술 서비스업",0,0,0,0,0,0,0,0,0
케이비제18호스팩,323940,2019-06-24,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
태성,323280,2019-06-24,2022,12월,특수 목적용 기계 제조업,"55,814,005","23,420,500","32,393,504","60,944,730",39,"2,228,275",-50,"-454,628",-104
엠에프엠코리아,323230,2019-06-19,2022,12월,편조의복 제조업,"88,250,879","44,265,190","43,985,689","78,305,022",-12,"-702,964",58,"941,814",117
압타바이오,293780,2019-06-12,2022,12월,자연과학 및 공학 연구개발업,"56,113,732","3,744,231","52,369,501","48,353",-78,"-9,506,766",16,"-10,564,737",1
까스텔바작,308100,2019-06-10,2022,12월,"섬유, 의복, 신발 및 가죽제품 소매업","120,956,196","54,090,632","66,865,564","59,556,496",-10,"-6,141,285",-107,"-6,019,796",-31
마이크로디지탈,305090,2019-06-05,2022,12월,의료용 기기 제조업,"28,407,544","22,970,946","5,436,598","8,883,699",106,"-7,952,738",-23,"-9,363,892",-22
원바이오젠,278380,2019-06-03,-,-,의료용품 및 기타 의약 관련제품 제조업,0,0,0,0,0,0,0,0,0
프로이천,321260,2019-05-31,2022,12월,반도체 제조업,"34,198,562","3,590,360","30,608,202","37,396,722",9,"3,249,261",52,"3,713,750",505
코퍼스코리아,322780,2019-05-31,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","96,161,944","48,609,401","47,552,544","10,125,807",-36,"4,446,298",-42,"-1,486,703",-118
포스코퓨처엠,003670,2019-05-29,2022,12월,"내화, 비내화 요업제품 제조업","4,276,625,735","1,849,501,419","2,427,124,316","3,041,287,029",56,"153,190,221",27,"114,853,461",-3
수젠텍,253840,2019-05-28,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"173,243,719","32,666,776","140,576,944","101,399,256",31,"25,478,916",-26,"26,674,309",-24
컴퍼니케이,307930,2019-05-23,2022,12월,기타 금융업,"86,752,417","9,404,011","77,348,406","15,843,841",-42,"6,287,344",-70,"6,471,097",-65
다원넥스뷰,323350,2019-05-21,2022,12월,사진장비 및 광학기기 제조업,"10,686,076","12,943,687","-2,257,611","10,991,070",-12,"1,087,689",172,"-842,079",-142
피에스케이,319660,2019-05-10,2022,12월,특수 목적용 기계 제조업,"445,570,029","112,355,863","333,214,166","429,940,100",1,"78,379,188",-11,"69,135,567",-8
현대무벡스,319400,2019-05-08,2022,12월,일반 목적용 기계 제조업,"218,679,106","64,404,552","154,274,554","210,548,713",-11,"13,781,764",-11,"9,378,536",8
SNK,950180,2019-05-07,-,-,소프트웨어 개발 및 공급업,0,0,0,0,0,0,0,0,0
한화에스비아이스팩,317320,2019-05-03,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
TS트릴리온,317240,2019-04-29,2022,12월,기타 화학제품 제조업,"67,340,671","51,071,201","16,269,470","60,048,029",27,"-5,361,474",-7,"-9,846,377",-36
이노벡스,279060,2019-04-12,2022,12월,전자부품 제조업,"8,214,094","6,253,753","1,960,341","8,072,863",161,"-2,029,520",27,"-2,319,722",7
아모그린텍,125210,2019-03-29,2022,12월,전자부품 제조업,"143,145,316","87,250,893","55,894,423","142,128,438",16,"8,835,374",400,"11,415,403",325
현대오토에버,307950,2019-03-28,2022,12월,소프트웨어 개발 및 공급업,"2,408,631,121","987,330,400","1,421,300,721","2,240,816,395",33,"124,351,998",58,"106,628,632",73
지노믹트리,228760,2019-03-27,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"161,609,169","54,554,410","107,054,759","2,052,847",-15,"-11,468,088",-29,"-6,630,819",42
케이비17호스팩,317030,2019-03-27,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
이지케어텍,099750,2019-03-22,2022,03월,소프트웨어 개발 및 공급업,"55,188,213","23,549,159","31,639,055","91,181,993",18,"846,362",125,"-3,190,472",59
유안타제4호스팩,313750,2019-03-21,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
미래에셋벤처투자,100790,2019-03-15,2022,12월,기타 금융업,"317,116,710","52,095,399","265,021,311","71,062,150",-28,"46,379,305",-40,"41,386,371",-37
드림텍,192650,2019-03-14,2022,12월,전자부품 제조업,"389,586,094","129,004,998","260,581,096","641,554,240",15,"66,059,984",124,"54,777,454",220
더블유게임즈,192080,2019-03-12,2022,12월,소프트웨어 개발 및 공급업,"723,165,536","81,088,691","642,076,845","206,870,475",-3,"56,970,366",-24,"-7,231,350",-111
에코프로비엠,247540,2019-03-05,2022,12월,일차전지 및 축전지 제조업,"2,347,571,591","1,026,793,026","1,320,778,565","3,415,313,943",129,"262,632,141",106,"175,255,684",64
셀리드,299660,2019-02-20,2022,12월,자연과학 및 공학 연구개발업,"45,857,391","23,418,502","22,438,889","480,000",-47,"-14,911,334",-14,"-22,864,575",-74
우리금융지주,316140,2019-02-13,2022,12월,기타 금융업,"25,113,576,000","2,216,674,000","22,896,902,000",0,0,"1,185,627,000",100,"1,183,249,000",98
천보,278280,2019-02-11,2022,12월,기초 화학물질 제조업,"557,538,424","299,754,307","257,784,117","94,444,386",1,"15,765,467",7,"-641,451",-103
이노테라피,246960,2019-02-01,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"30,632,504","17,587,434","13,045,070","325,948",-28,"-3,828,155",3,"-5,971,858",-18
노랑풍선,104620,2019-01-30,2022,12월,여행사 및 기타 여행보조 서비스업,"91,973,749","59,796,528","32,177,221","20,985,286",737,"-21,047,720",-46,"-24,316,355",-140
웹케시,053580,2019-01-25,2022,12월,소프트웨어 개발 및 공급업,"128,913,009","25,884,963","103,028,046","87,866,522",7,"20,598,237",10,"11,534,004",-22
엘에이티,311060,2018-12-28,2022,12월,특수 목적용 기계 제조업,"15,365,191","9,950,497","5,414,694","16,887,886",83,"1,703,657",254,"1,134,279",182
에어부산,298690,2018-12-27,2022,12월,항공 여객 운송업,"1,227,883,088","1,101,224,122","126,658,966","404,992,920",129,"-81,307,511",60,"-150,400,645",43
대원모방,311840,2018-12-27,-,-,직물직조 및 직물제품 제조업,0,0,0,0,0,0,0,0,0
키움제5호스팩,311270,2018-12-26,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
비피도,238200,2018-12-26,2022,12월,기타 식품 제조업,"55,153,595","2,187,767","52,965,828","13,755,906",16,"1,182,540",214,"1,854,154",-59
유틸렉스,263050,2018-12-24,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"97,708,605","15,720,362","81,988,242","657,378",196,"-31,755,577",0,"-31,210,248",-12
엔에이치스팩13호,310840,2018-12-24,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
테크엔,308700,2018-12-21,2022,12월,전구 및 조명장치 제조업,"14,504,797","12,598,038","1,906,759","4,117,477",-41,"-1,271,922",-23,"-1,689,540",-41
애니플러스,310200,2018-12-21,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","113,498,187","44,445,288","69,052,899","29,388,609",44,"6,604,917",-3,"4,469,711",-73
디케이티,290550,2018-12-21,2022,12월,전자부품 제조업,"125,955,294","74,310,194","51,645,100","102,487,297",-11,"3,306,064",-22,"7,415,019","1,014"
아이엘사이언스,307180,2018-12-21,2022,12월,전구 및 조명장치 제조업,"58,150,462","43,970,315","14,180,147","31,767,894",-17,"29,228",-94,"2,681,049",125
오하임아이엔티,309930,2018-12-20,2022,12월,기타 생활용품 소매업,"41,982,677","13,915,128","28,067,549","32,410,294",0,"1,592,162",-56,"1,502,318",-59
디와이씨,310870,2018-12-20,2022,12월,자동차 신품 부품 제조업,"117,641,270","70,914,101","46,727,169","120,652,618",38,"9,819,617","2,382","4,538,145",478
위지윅스튜디오,299900,2018-12-20,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","235,593,827","41,948,114","193,645,713","33,031,394",35,"568,487",145,"12,450,113",309
프로테옴텍,303360,2018-12-19,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"17,409,447","1,420,097","15,989,349","7,644,000",28,"1,057,533",62,"1,252,815",262
에이비엘바이오,298380,2018-12-19,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"143,065,669","72,944,303","70,121,365","65,333,992","1,125","118,582",100,"3,853,621",108
국전약품,307750,2018-12-19,2022,12월,의약품 제조업,"194,229,106","102,581,904","91,647,202","103,720,153",21,"3,588,481",-41,"8,680,896",115
머큐리,100590,2018-12-14,2022,12월,통신 및 방송 장비 제조업,"136,553,966","46,299,254","90,254,712","163,074,228",34,"4,883,868",-13,"535,476",-90
전진바이오팜,110020,2018-12-14,2022,12월,기타 화학제품 제조업,"17,867,212","8,358,977","9,508,235","7,794,176",142,"-3,177,266",-4,"-3,154,381",-49
뉴트리,270870,2018-12-13,2022,12월,기타 식품 제조업,"127,924,220","33,667,502","94,256,718","182,228,179",-20,"5,361,963",-71,"6,178,597",-64
이노메트리,302430,2018-12-12,2022,12월,특수 목적용 기계 제조업,"79,199,852","22,651,735","56,548,118","73,735,368",65,"3,908,792",21,"3,144,451",-14
비투엔,307870,2018-12-12,2022,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","39,690,356","22,513,923","17,176,434","27,083,000",5,"-2,187,642",-197,"-2,215,745",-25
SK4호스팩,307070,2018-12-07,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
대유에이피,290120,2018-12-07,2022,12월,자동차 신품 부품 제조업,"203,494,974","133,280,460","70,214,514","164,231,683",19,"13,561,813",45,"13,890,523",79
에코캡,128540,2018-12-05,2022,12월,자동차 신품 부품 제조업,"129,308,134","46,850,934","82,457,200","107,676,696",45,"-2,729,950",78,"-4,121,610",76
원바이오젠,307280,2018-12-05,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"38,721,353","10,696,431","28,024,923","19,765,500",49,"5,014,286",149,"3,449,913",504
베스파,299910,2018-12-03,2022,12월,소프트웨어 개발 및 공급업,"1,413,949","11,874,776","-10,460,826","5,285,951",-87,"-7,433,174",80,"-6,558,727",88
하나머스트제6호스팩,307160,2018-11-30,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
윙입푸드,900340,2018-11-30,-,-,기타 금융업,0,0,0,0,0,0,0,0,0
비엔에프코퍼레이션,271780,2018-11-30,-,-,1차 비철금속 제조업,0,0,0,0,0,0,0,0,0
티로보틱스,117730,2018-11-29,2022,12월,특수 목적용 기계 제조업,"82,307,846","55,403,038","26,904,807","52,836,560",27,"278,896",104,"1,068,810",109
남화산업,111710,2018-11-29,2022,12월,스포츠 서비스업,"182,680,027","14,162,953","168,517,073","30,435,803",17,"17,721,459",28,"20,643,476",50
엠아이텍,179290,2018-11-29,2022,12월,의료용 기기 제조업,"94,048,535","10,500,564","83,547,971","60,662,419",20,"20,329,554",53,"19,147,858",56
에이펙스인텍,207490,2018-11-28,2022,12월,전구 및 조명장치 제조업,"22,028,699","15,131,636","6,897,063","21,205,746",0,"62,002",-65,"78,865",-31
네오펙트,290660,2018-11-28,2022,12월,의료용 기기 제조업,"45,983,516","27,688,932","18,294,585","2,519,102",-38,"-5,009,549",-18,"-9,989,321",-88
티앤알바이오팹,246710,2018-11-28,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"75,937,857","36,674,914","39,262,943","5,754,646",77,"-12,897,641",-25,"-10,337,052",85
나라소프트,288490,2018-11-23,2022,12월,소프트웨어 개발 및 공급업,"9,374,707","9,735,603","-360,896","1,116,914",347,"-514,908",59,"-862,606",58
아시아나IDT,267850,2018-11-23,2022,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","205,577,784","45,626,560","159,951,224","181,365,957",3,"10,236,752",40,"8,596,698",-67
싸이토젠,217330,2018-11-22,2022,12월,자연과학 및 공학 연구개발업,"40,445,858","34,391,995","6,053,863","617,576",77,"-11,515,682",10,"-18,751,877",-72
디알젬,263690,2018-11-22,2022,12월,의료용 기기 제조업,"124,765,013","49,725,589","75,039,424","114,709,484",33,"18,524,760",49,"15,273,567",21
아주IB투자,027360,2018-11-21,2022,12월,기타 금융업,"237,737,763","51,717,243","186,020,520","27,759,844",-70,"292,500",-99,"-1,526,576",-103
파멥신,208340,2018-11-21,2022,12월,의약품 제조업,"39,826,191","15,035,795","24,790,395","206,598",205,"-19,495,651",40,"-32,001,711",28
디케이앤디,263020,2018-11-20,2022,12월,플라스틱제품 제조업,"69,004,238","27,435,325","41,568,913","41,076,908",9,"1,755,648","1,868","924,118",122
아이엘사이언스,122050,2018-11-16,-,-,전구 및 조명장치 제조업,0,0,0,0,0,0,0,0,0
에이치앤비디자인,227100,2018-11-15,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","70,408,728","31,894,741","38,513,987","3,155,657",-56,"-4,489,239",52,"-8,367,319",56
노바렉스,194700,2018-11-14,2022,12월,기타 식품 제조업,"270,036,581","88,702,214","181,334,368","280,698,426",0,"25,352,191",-15,"20,061,905",-24
셀리버리,268600,2018-11-09,2022,12월,자연과학 및 공학 연구개발업,"43,356,862","47,606,242","-4,249,380","1,424,739",25,"-38,639,429",-39,"-87,473,497",-214
대보마그네틱,290670,2018-11-06,2022,12월,기타 전기장비 제조업,"99,946,312","19,860,497","80,085,816","108,560,097",152,"26,596,062",361,"22,029,442",336
노바텍,285490,2018-11-02,2022,12월,그외 기타 제품 제조업,"65,220,960","7,619,801","57,601,159","20,489,838",18,"4,725,828",-32,"8,416,401",9
엘앤씨바이오,290650,2018-11-01,2022,12월,의약품 제조업,"159,171,097","71,273,972","87,897,125","41,742,926",15,"6,701,425",-14,"4,135,811",-48
네온테크,306620,2018-10-31,2022,12월,특수 목적용 기계 제조업,"86,271,326","42,705,248","43,566,078","42,339,156",11,"-4,175,633",-21,"-8,424,614",-72
옵티팜,153710,2018-10-26,2022,12월,의료용품 및 기타 의약 관련제품 제조업,"41,182,276","12,170,972","29,011,305","16,008,197",12,"-3,377,130",25,"-2,044,631",33
로보티즈,108490,2018-10-26,2022,12월,특수 목적용 기계 제조업,"120,928,630","37,971,912","82,956,719","24,382,956",21,"-2,278,988",-27,"-288,027",-256
에스퓨얼셀,288620,2018-10-15,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","153,198,986","82,685,134","70,513,853","46,776,299",0,"1,430,175",-41,"988,959",-80
세아제강,306200,2018-10-05,2022,12월,1차 철강 제조업,"1,465,129,429","636,127,563","829,001,866","1,801,835,090",20,"215,165,658",63,"159,294,293",74
푸드나무,290720,2018-10-04,2022,12월,무점포 소매업,"100,998,893","47,132,115","53,866,778","185,189,714",11,"3,634,503",110,"2,882,357",366
