"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 21","28,112.0","27,712.0","28,435.0","27,313.0","1.66K","1.44%"
"2023- 03- 20","27,712.0","27,936.0","28,438.0","27,130.0","2.70K","-0.80%"
"2023- 03- 19","27,936.0","26,913.0","28,329.0","26,838.0","4.34K","3.80%"
"2023- 03- 18","26,913.0","27,350.0","27,605.0","26,595.0","3.08K","-1.60%"
"2023- 03- 17","27,350.0","25,057.0","27,562.0","24,954.0","9.82K","9.15%"
"2023- 03- 16","25,057.0","24,321.0","25,213.0","24,202.0","2.42K","3.03%"
"2023- 03- 15","24,321.0","24,744.0","25,245.0","23,939.0","2.63K","-1.71%"
"2023- 03- 14","24,744.0","24,187.0","26,434.0","24,073.0","9.61K","2.30%"
"2023- 03- 13","24,187.0","22,079.0","24,560.0","21,891.0","7.01K","9.55%"
"2023- 03- 12","22,079.0","20,538.0","22,132.0","20,363.0","5.61K","7.50%"
"2023- 03- 11","20,538.0","20,201.0","20,783.0","19,874.0","6.80K","1.67%"
"2023- 03- 10","20,201.0","20,378.0","20,381.0","19,592.0","4.64K","-0.87%"
"2023- 03- 09","20,378.0","21,712.0","21,835.0","20,096.0","3.79K","-6.14%"
"2023- 03- 08","21,712.0","22,209.0","22,286.0","21,622.0","1.75K","-2.24%"
"2023- 03- 07","22,209.0","22,404.0","22,552.0","21,967.0","1.84K","-0.87%"
"2023- 03- 06","22,404.0","22,431.0","22,586.0","22,315.0","0.89K","-0.12%"
"2023- 03- 05","22,431.0","22,346.0","22,650.0","22,225.0","0.43K","0.38%"
"2023- 03- 04","22,346.0","22,363.0","22,405.0","22,176.0","0.41K","-0.08%"
"2023- 03- 03","22,363.0","23,472.0","23,482.0","22,003.0","2.99K","-4.72%"
"2023- 03- 02","23,472.0","23,646.0","23,792.0","23,208.0","0.70K","-0.74%"
"2023- 03- 01","23,646.0","23,134.0","23,979.0","23,037.0","1.37K","2.21%"
"2023- 02- 28","23,134.0","23,504.0","23,609.0","23,067.0","1.44K","-1.57%"
"2023- 02- 27","23,504.0","23,560.0","23,891.0","23,167.0","1.84K","-0.24%"
"2023- 02- 26","23,560.0","23,177.0","23,669.0","23,083.0","0.77K","1.65%"
"2023- 02- 25","23,177.0","23,201.0","23,222.0","22,810.0","1.12K","-0.10%"
"2023- 02- 24","23,201.0","23,947.0","24,150.0","22,911.0","3.45K","-3.12%"
"2023- 02- 23","23,947.0","24,186.0","24,598.0","23,625.0","2.24K","-0.99%"
"2023- 02- 22","24,186.0","24,460.0","24,485.0","23,586.0","3.34K","-1.12%"
"2023- 02- 21","24,460.0","24,831.0","25,162.0","24,177.0","3.55K","-1.49%"
"2023- 02- 20","24,831.0","24,294.0","25,114.0","23,867.0","2.02K","2.21%"
"2023- 02- 19","24,294.0","24,633.0","25,200.0","24,246.0","2.72K","-1.38%"
"2023- 02- 18","24,633.0","24,579.0","24,853.0","24,450.0","0.63K","0.22%"
"2023- 02- 17","24,579.0","23,535.0","25,018.0","23,362.0","4.17K","4.44%"
"2023- 02- 16","23,535.0","24,318.0","25,232.0","23,527.0","4.64K","-3.22%"
"2023- 02- 15","24,318.0","22,198.0","24,350.0","22,082.0","2.37K","9.55%"
"2023- 02- 14","22,198.0","21,773.0","22,311.0","21,578.0","1.44K","1.95%"
"2023- 02- 13","21,773.0","21,796.0","21,902.0","21,404.0","3.08K","-0.11%"
"2023- 02- 12","21,796.0","21,866.0","22,095.0","21,667.0","1.26K","-0.32%"
"2023- 02- 11","21,866.0","21,643.0","21,903.0","21,614.0","0.36K","1.03%"
"2023- 02- 10","21,643.0","21,800.0","21,937.0","21,500.0","1.47K","-0.72%"
"2023- 02- 09","21,800.0","22,959.0","23,002.0","21,710.0","3.31K","-5.05%"
"2023- 02- 08","22,959.0","23,251.0","23,430.0","22,691.0","1.35K","-1.26%"
"2023- 02- 07","23,251.0","22,755.0","23,350.0","22,744.0","1.20K","2.18%"
"2023- 02- 06","22,755.0","22,936.0","23,145.0","22,639.0","1.08K","-0.79%"
"2023- 02- 05","22,936.0","23,315.0","23,419.0","22,799.0","1.44K","-1.63%"
"2023- 02- 04","23,315.0","23,433.0","23,580.0","23,253.0","0.58K","-0.50%"
"2023- 02- 03","23,433.0","23,485.0","23,700.0","23,230.0","1.92K","-0.22%"
"2023- 02- 02","23,485.0","23,723.0","24,239.0","23,395.0","2.83K","-1.00%"
"2023- 02- 01","23,723.0","23,135.0","23,802.0","22,800.0","2.13K","2.54%"
"2023- 01- 31","23,135.0","22,837.0","23,286.0","22,730.0","1.99K","1.30%"
"2023- 01- 30","22,837.0","23,746.0","23,784.0","22,516.0","2.95K","-3.83%"
"2023- 01- 29","23,746.0","23,029.0","23,962.0","23,000.0","4.24K","3.11%"
"2023- 01- 28","23,029.0","23,067.0","23,181.0","22,885.0","1.41K","-0.16%"
"2023- 01- 27","23,067.0","23,004.0","23,475.0","22,539.0","2.25K","0.27%"
"2023- 01- 26","23,004.0","23,045.0","23,273.0","22,859.0","1.40K","-0.18%"
"2023- 01- 25","23,045.0","22,627.0","23,812.0","22,334.0","3.74K","1.85%"
"2023- 01- 24","22,627.0","22,910.0","23,154.0","22,479.0","1.88K","-1.24%"
"2023- 01- 23","22,910.0","22,713.0","23,169.0","22,520.0","1.86K","0.87%"
"2023- 01- 22","22,713.0","22,766.0","23,071.0","22,321.0","1.52K","-0.23%"
"2023- 01- 21","22,766.0","22,672.0","23,312.0","22,443.0","3.60K","0.41%"
"2023- 01- 20","22,672.0","21,080.0","22,742.0","20,879.0","2.88K","7.55%"
"2023- 01- 19","21,080.0","20,678.0","21,181.0","20,670.0","0.90K","1.94%"
"2023- 01- 18","20,678.0","21,136.0","21,632.0","20,435.0","3.19K","-2.17%"
"2023- 01- 17","21,136.0","21,196.0","21,518.0","20,905.0","2.06K","-0.28%"
"2023- 01- 16","21,196.0","20,882.0","21,433.0","20,651.0","3.25K","1.50%"
"2023- 01- 15","20,882.0","20,963.0","21,048.0","20,583.0","1.54K","-0.39%"
"2023- 01- 14","20,963.0","19,933.0","21,300.0","19,897.0","6.06K","5.17%"
"2023- 01- 13","19,933.0","18,857.0","19,989.0","18,725.0","3.03K","5.71%"
"2023- 01- 12","18,857.0","17,946.0","19,070.0","17,920.0","5.32K","5.08%"
"2023- 01- 11","17,946.0","17,445.0","17,998.0","17,319.0","2.23K","2.87%"
"2023- 01- 10","17,445.0","17,188.0","17,503.0","17,155.0","0.81K","1.50%"
"2023- 01- 09","17,188.0","17,139.0","17,399.0","17,123.0","1.58K","0.29%"
"2023- 01- 08","17,139.0","16,958.0","17,174.0","16,930.0","0.81K","1.07%"
"2023- 01- 07","16,958.0","16,967.0","16,990.0","16,925.0","0.28K","-0.05%"
"2023- 01- 06","16,967.0","16,842.0","17,045.0","16,705.0","1.82K","0.74%"
"2023- 01- 05","16,842.0","16,868.0","16,888.0","16,778.0","0.57K","-0.15%"
"2023- 01- 04","16,868.0","16,689.0","16,998.0","16,671.0","1.12K","1.07%"
"2023- 01- 03","16,689.0","16,690.0","16,807.0","16,625.0","1.58K","-0.01%"
"2023- 01- 02","16,690.0","16,643.0","16,802.0","16,584.0","0.60K","0.28%"
"2023- 01- 01","16,643.0","16,564.0","16,644.0","16,517.0","0.24K","0.48%"
"2022- 12- 31","16,564.0","16,618.0","16,660.0","16,515.0","0.60K","-0.32%"
"2022- 12- 30","16,618.0","16,658.0","16,659.0","16,380.0","1.30K","-0.24%"
