시장구분,회사명,종목코드,신고서제출일,수요예측일정,청약일정,납입일,상장예정일,상장일,주관사,주요제품,상장유형,증권구분,업종_x,국적,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률,report_year,매출액,영업이익,당기순이익
코스닥 상장추진,샌즈랩,411080,2022-12-16,2023-02-01,2023-02-06,2023-02-09,2023-02-15,2023-02-15,키움증권㈜,사이버 위협 인텔리전스(CTI),신규상장,주권,소프트웨어 개발 및 공급업,대한민국,38850.0,100.0,10500.0,15095238.0,21000.0,100.0,24900.0,137.1,16560.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,2022,5413847.0,488759.0,733713.0
코스닥 상장추진,티이엠씨,425040,2022-12-13,2023-01-04,2023-01-10,2023-01-13,2023-01-19,2023-01-19,한화투자증권㈜,반도체용 특수가스,신규상장,주권,기초 화학물질 제조업,대한민국,50400.0,500.0,28000.0,10623114.0,27950.0,0.0,28100.0,0.0,37250.0,0.0,42500.0,0.0,0.0,0.0,0.0,0.0,2022,88323515.0,12367819.0,10386015.0
코스닥 상장추진,한주라이트메탈,198940,2022-11-18,2023-01-04,2023-01-10,2023-01-13,2023-01-19,2023-01-19,"미래에셋증권 주식회사,현대차증권주식회사",알루미늄 기반 경량화 자동차 부품,신규상장,주권,1차 비철금속 제조업,대한민국,20150.0,500.0,3100.0,19435815.0,4115.0,0.0,5340.0,0.0,4350.0,0.0,6910.0,0.0,0.0,0.0,0.0,0.0,2022,189023781.0,7075704.0,4031354.0
유가증권 상장추진,바이오노트,377740,2022-10-13,2022-11-07,2022-11-10,2022-11-15,2022-11-21,2022-12-22,"한국투자증권㈜,엔에이치투자증권주식회사","Rapid 반제품 및 완제품, 동물용신속진단 키트",신규상장,주권,의료용품 및 기타 의약 관련제품 제조업,대한민국,93600.0,500.0,9000.0,101876048.0,9980.0,10.9,10650.0,18.3,8900.0,-1.1,6680.0,-25.8,0.0,0.0,0.0,0.0,2022,620046067.0,471364335.0,396366331.0
코스닥 상장추진,티에프이,425420,2022-10-12,2022-11-03,2022-11-08,2022-11-11,2022-11-17,2022-11-17,IBK투자증권㈜,"COK, Board, Test Socket",신규상장,주권,전자부품 제조업,대한민국,28350.0,100.0,10500.0,11381000.0,10000.0,-4.8,9260.0,-11.8,8310.0,-20.9,8400.0,-20.0,0.0,0.0,0.0,0.0,2022,66421400.0,9062450.0,8643934.0
코스닥 상장추진,SAMG엔터,419530,2022-10-07,2022-11-17,2022-11-24,2022-11-29,2022-12-06,2022-12-06,엔에이치투자증권주식회사,애니메이션 IP 기획 및 관련 제품 제작,신규상장,주권,"영화, 비디오물, 방송프로그램 제작 및 배급업",대한민국,23800.0,500.0,17000.0,8590930.0,18050.0,6.2,23450.0,37.9,31650.0,86.2,38000.0,123.5,0.0,0.0,0.0,0.0,2022,38374162.0,3358685.0,-11086849.0
코스닥 상장추진,인벤티지랩,389470,2022-09-30,2022-11-08,2022-11-11,2022-11-16,2022-11-22,2022-11-22,한국투자증권㈜,마이크로/나노 입자 기반 약물전달 플랫폼 및 관련 제품,신규상장,주권,의약품 제조업,대한민국,12480.0,500.0,12000.0,8205348.0,12750.0,6.3,14950.0,24.6,10150.0,-15.4,10340.0,-13.8,0.0,0.0,0.0,0.0,2022,1861755.0,-9557906.0,-9271261.0
코스닥 상장추진,윤성에프앤씨,372170,2022-09-30,2022-10-26,2022-11-02,2022-11-07,2022-11-14,2022-11-14,미래에셋증권 주식회사,2차전지용 믹싱시스템,신규상장,주권,"구조용 금속제품, 탱크 및 증기발생기 제조업",대한민국,97743.0,100.0,49000.0,7979048.0,44100.0,-10.0,40450.0,-17.4,43300.0,-11.6,53600.0,9.4,0.0,0.0,0.0,0.0,2022,75893660.0,-4608546.0,-2915367.0
코스닥 상장추진,디티앤씨알오,383930,2022-09-30,2022-10-26,2022-11-02,2022-11-07,2022-11-11,2022-11-11,키움증권㈜,비임상 및 임상시험 대체 용역,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,23800.0,500.0,17000.0,6315256.0,7850.0,-7.6,6925.0,-18.5,5000.0,-41.2,5570.0,-34.5,0.0,0.0,0.0,0.0,2022,32748665.0,4907063.0,4327534.0
코스닥 상장추진,티쓰리,204610,2022-09-29,2022-11-01,2022-11-07,2022-11-10,2022-11-17,2022-11-17,미래에셋증권 주식회사,온라인 및 모바일 게임 등,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,28900.0,100.0,1700.0,65587752.0,2445.0,0.0,2085.0,0.0,1825.0,0.0,1988.0,0.0,0.0,0.0,0.0,0.0,2022,23128163.0,10494520.0,10980704.0
