(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
소마젠,950200,2020-07-13,"20,086,832","19,005,866","28,591,651","43,374,449",0,"-4,857,527","-10,273,354","-7,733,852","-1,474,652",0,"-23,066,854","-21,585,298","-7,061,473","-1,048,269",0
신도기연,290520,2020-07-06,"83,428,397","41,261,031","39,460,285","21,416,014",0,"16,613,876","-2,490,987","-2,539,259","-4,047,153",0,"14,920,105","-4,285,636","1,789,429","-637,574",0
위더스제약,330350,2020-07-03,"51,732,082","26,216,392","57,418,806","64,680,376",0,"10,934,657","1,362,392","4,885,973","4,877,718",0,"8,661,484","1,867,398","4,263,801","2,479,164",0
에스케이바이오팜,326030,2020-07-02,"123,814,229","63,013,129","455,254,945","214,940,796",0,"-87,619,325","-221,847,248","142,907,326","-145,553,164",0,"-90,983,120","-232,185,353","111,276,784","-158,415,496",0
엠브레인,169330,2020-07-01,"38,849,586","37,115,218","32,873,359","38,851,572",0,"2,630,454","3,361,251","4,239,465","5,472,400",0,"2,008,097","2,555,558","3,284,866","4,517,844",0
젠큐릭스,229000,2020-06-25,"136,618","1,451,901","2,166,609","2,517,964",0,"-6,559,792","-8,898,655","-11,670,055","-8,977,782",0,"-9,162,256","33,105,600","-34,666,542","-25,564,167",0
무진메디,322970,2020-06-24,"12,954","11,400","7,200","20,000",0,"-2,049,110","-1,957,436","-2,475,718","-2,899,414",0,"-2,083,898","-1,977,285","-2,510,603","-3,027,867",0
에스에이티이엔지,351320,2020-06-22,0,"35,880,690","37,834,701","32,868,660",0,0,"3,834,691","3,467,933","1,807,577",0,0,"2,300,838","-5,161,940","1,868,916",0
HB솔루션,297890,2020-06-22,"46,856,958","21,082,360","46,878,694","187,336,912",0,"11,065,475","-1,754,315","1,070,184","26,808,533",0,"7,316,196","-2,288,876","6,551,172","43,269,285",0
에스씨엠생명과학,298060,2020-06-17,"168,499","320,006","439,263","395,982",0,"-12,202,218","-16,088,982","-12,155,170","-12,578,927",0,"-42,553,754","-9,632,800","-22,518,683","-22,930,003",0
휴럼,353190,2020-06-17,0,"76,768,038","69,077,005","64,095,106",0,0,"7,448,210","1,265,819","-2,132,711",0,0,"1,599,729","-7,266,895","-1,627,105",0
이지바이오,353810,2020-06-05,0,"88,123,274","127,777,190","142,464,754",0,0,"15,198,062","15,971,291","14,973,036",0,0,"10,425,484","10,335,392","8,527,609",0
드림씨아이에스,223250,2020-05-22,"22,108,907","23,489,322","26,153,500","32,200,497",0,"4,335,672","4,818,095","3,869,918","4,552,881",0,"4,150,871","4,881,995","3,198,918","3,458,002",0
대덕전자,353200,2020-05-21,0,"614,383,246","993,659,136","1,308,957,186",0,0,"11,929,625","74,438,125","233,527,717",0,0,"-11,486,946","69,137,661","178,175,789",0
오션스톤,329020,2020-05-07,"4,682,998",0,0,0,0,"398,230",0,0,0,0,"281,443",0,0,0,0
HLB사이언스,343090,2020-04-24,0,0,0,0,0,"-2,601,716","-4,317,820","-4,802,044","-3,967,888",0,"-2,546,670","-4,308,400","-5,051,965","-4,768,746",0
엔피디,198080,2020-03-16,"187,714,065","136,121,973","184,274,672","195,656,643",0,"13,181,236","8,395,130","12,662,271","8,449,919",0,"15,741,229","-5,201,493","3,957,212","-1,188,667",0
플레이디,237820,2020-03-12,"38,572,320","29,306,229","34,680,498","43,952,147",0,"8,802,949","1,100,212","3,338,918","5,596,977",0,"6,589,776","1,487,713","2,964,143","4,953,448",0
SK6호스팩,340350,2020-03-11,0,0,0,0,0,"-12,810",0,0,0,0,"-20,939",0,0,0,0
서울바이오시스,092190,2020-03-06,"269,736,534","252,258,702","257,061,319","181,356,863",0,"16,383,924","6,203,393","-9,678,082","-60,231,154",0,"5,150,044","13,929,575","5,862,073","-86,612,430",0
제이앤티씨,204270,2020-03-04,"142,404,428","119,772,099","101,351,084","87,389,586",0,"-33,359,765","-8,393,244","-12,229,687","3,600,005",0,"-30,168,314","-10,400,383","-5,323,854","8,361,399",0
켄코아에어로스페이스,274090,2020-03-03,"17,234,579","10,342,816","31,850,365","44,659,018",0,"-2,399,149","-7,989,689","-15,798,971","4,443,413",0,"-9,951,256","-9,497,160","-21,819,236","738,190",0
레몬,294140,2020-02-28,"49,653,530","80,146,793","33,416,383","39,769,237",0,"-7,860,613","16,154,821","-13,052,508","-6,646,658",0,"-9,270,788","12,457,254","-52,010,452","-16,358,313",0
서남,294630,2020-02-20,"1,413,311","1,404,478","1,137,169","6,364,610",0,"-4,416,062","-4,718,594","-3,633,007","-2,400,302",0,"-4,220,254","-4,541,590","-3,996,089","-2,115,206",0
신영스팩6호,344050,2020-02-12,0,0,0,0,0,"-11,815",0,0,0,0,"-11,129",0,0,0,0
위세아이텍,065370,2020-02-10,"19,719,477","24,862,449","34,064,032","37,892,065",0,"2,912,073","3,683,153","5,812,757","1,304,673",0,"2,665,962","3,374,738","4,042,593","3,870,235",0
케이비제20호스팩,342550,2020-01-30,0,0,0,0,0,"-14,066",0,0,0,0,"-11,104",0,0,0,0
하나금융15호스팩,341160,2020-01-30,0,0,0,0,0,"-4,536",0,0,0,0,"-8,103",0,0,0,0
케이씨씨글라스,344820,2020-01-21,0,"708,657,396","1,175,659,965","1,435,824,596",0,0,"35,839,371","160,818,564","121,961,389",0,0,"132,442,597","117,763,799","96,342,828",0
이앤에치,341310,2019-12-27,"16,371,486","44,828,809","18,424,243","13,190,192",0,"1,496,918","19,313,222","-1,427,570","-5,643,645",0,"-3,612,828","13,343,909","3,401,109","-12,949,164",0
세림B&G,340440,2019-12-27,"32,723,813","39,440,962","47,675,469","52,526,154",0,"1,717,757","2,399,895","2,101,379","2,692,108",0,"1,445,153","2,353,550","-3,097,839","2,198,438",0
피피아이,062970,2019-12-26,"48,631,596","21,853,671","13,458,886","21,300,639",0,"2,679,197","-6,503,222","-11,814,911","827,153",0,"2,813,809","-5,003,207","-14,696,318","504,778",0
엔에스엠,238170,2019-12-26,"19,954,464","20,364,996","15,178,180","13,456,303",0,"2,844,156","2,696,686","1,410,395","71,038",0,"842,431","2,778,643","-125,023","-910,213",0
CJ 바이오사이언스,311690,2019-12-26,"4,782,430","5,311,547","4,305,362","3,836,756",0,"-4,323,678","-7,740,972","-8,520,250","-31,360,511",0,"-4,345,714","-8,762,587","-19,272,342","-33,827,976",0
아이비김영,339950,2019-12-24,"41,921,506","45,257,135","58,592,435","63,469,408",0,"8,110,726","6,763,831","13,749,004","11,973,585",0,"6,709,561","1,263,817","10,658,267","6,846,040",0
RF머트리얼즈,327260,2019-12-24,"16,211,219","10,326,575","11,613,506","19,476,445",0,"1,129,461","-1,720,537","-1,166,828","2,252,756",0,"1,197,711","-609,503","-901,715","3,344,976",0
하이제5호스팩,340120,2019-12-23,0,0,0,0,0,"-15,856",0,0,0,0,"-12,917",0,0,0,0
브릿지바이오,288330,2019-12-20,"58,283,297","6,339,946","1,924,158","3,023,742",0,"718,911","-18,757,860","-22,762,959","-35,991,016",0,"1,426,255","-19,452,688","-25,667,233","-41,098,094",0
메드팩토,235980,2019-12-19,0,0,0,0,0,"-13,238,449","-27,799,946","-29,381,605","-36,418,560",0,"-13,515,613","-25,352,139","-17,039,774","-35,753,227",0
원텍,336570,2019-12-19,0,"29,384,515","48,791,594","79,876,391",0,"-27,145","-7,793,754","9,997,114","26,505,985",0,"-31,350","-13,411,936","16,167,887","13,188,989",0
다보링크,340360,2019-12-19,0,"63,461,221","77,545,507","64,859,342",0,"-17,044","5,529,715","78,874","-2,434,222",0,"-12,480","6,403,701","-13,636,274","-5,241,781",0
신테카바이오,226330,2019-12-17,"461,374","609,677","316,659","243,992",0,"-5,194,158","-7,097,675","-8,881,425","-10,788,278",0,"-22,966,267","-6,487,776","-14,791,148","-3,480,645",0
제이엘케이,322510,2019-12-11,"229,534","4,489,991","3,821,369","3,413,448",0,"-10,613,354","-7,469,977","-6,940,528","-7,333,913",0,"-10,463,624","-7,574,168","-7,189,519","-9,382,669",0
태웅로직스,124560,2019-12-10,"273,971,524","306,352,757","866,948,936","1,177,500,429",0,"13,989,061","13,575,289","75,079,664","102,078,466",0,"7,858,538","7,262,717","60,480,081","83,146,305",0
윙스풋,335870,2019-12-09,0,0,0,"54,337,267",0,"-23,557","-82,713","-72,963","3,706,705",0,"-19,240","-31,059","-42,074","-16,757,091",0
노드메이슨,317860,2019-12-06,"16,907,143","19,470,825","18,631,230","15,103,694",0,"-734,964","1,648,001","956,767","-1,919,447",0,"-641,258","1,258,965","137,162","-2,533,979",0
리메드,302550,2019-12-06,"18,550,238","16,633,019","20,195,049","21,322,332",0,"4,287,510","1,792,246","1,827,235","2,290,947",0,"4,363,103","-1,635,080","1,533,608","4,746,922",0
NH프라임리츠,338100,2019-12-05,0,"2,855,122","4,147,811","7,633,137",0,"-1,694,708","2,729,412","3,871,291","7,346,158",0,"-1,671,752","2,731,824","3,874,286","7,352,918",0
SK5호스팩,337450,2019-12-04,0,0,0,0,0,"-34,637",0,0,0,0,"-29,538",0,0,0,0
비올,335890,2019-12-03,"10,441,087","12,154,328","18,372,723","31,108,305",0,"4,068,699","3,712,585","5,688,106","13,383,728",0,"3,537,144","-2,138,505","4,438,534","11,947,644",0
타스컴,336040,2019-12-02,"8,644,434","9,097,635","10,274,721","9,012,254",0,"-2,409,858","-3,005,079","-3,076,058","-4,622,724",0,"-2,380,936","-3,451,616","-40,866,576","-4,695,289",0
진코스텍,250030,2019-11-29,"22,564,887","26,847,558","14,887,214","17,600,849",0,"1,975,746","3,902,267","-2,747,650","-3,194,190",0,"558,772","2,057,618","-333,442","-4,656,558",0
코리아센터,290510,2019-11-29,"60,654,091",0,0,0,0,"7,767,961",0,0,0,0,"4,073,312",0,0,0,0
웨이버스,336060,2019-11-28,0,"35,227,286","35,026,793","38,175,785",0,"-17,694","5,687,893","4,340,455","1,561,558",0,"-6,057","4,529,557","4,125,807","-8,427,415",0
유엑스엔,337840,2019-11-28,0,"20,000","56,364","107,350",0,"-1,235,032","-2,362,448","-3,032,272","-5,313,383",0,"-1,326,059","-2,935,459","-3,138,417","-5,474,486",0
HLB바이오스텝,278650,2019-11-27,"32,452,769","43,575,919","47,004,337","56,636,162",0,"5,672,002","8,018,040","8,543,935","5,603,425",0,"3,744,943","7,860,058","10,300,850","-3,360,461",0
씨티알모빌리티,308170,2019-11-25,"207,395,852","231,860,590","275,893,310","295,033,458",0,"4,194,188","413,763","-902,373","-4,500,976",0,"2,773,591","3,808,528","-664,223","-6,000,478",0
티움바이오,321550,2019-11-22,"1,113,000","1,048,950",0,"8,013,450",0,"-8,019,654","-11,247,192","-20,139,133","-15,024,944",0,"-7,091,426","-12,118,823","-31,589,807","-30,253,037",0
씨에스베어링,297090,2019-11-21,"103,369,828","103,344,056","94,847,477","42,898,094",0,"11,442,967","6,974,740","-773,560","-6,787,443",0,"7,500,612","2,149,768","2,215,983","-9,975,157",0
코리아에셋투자증권,190650,2019-11-20,"165,961,753","218,287,811","159,995,049","216,605,519",0,0,0,0,0,0,"5,506,534","6,468,734","11,598,561","16,683,068",0
우양,103840,2019-11-20,"117,909,007","133,059,335","139,168,266","163,412,927",0,"6,033,349","6,516,509","2,056,288","95,871",0,"3,418,597","4,065,242","1,280,447","-2,998,798",0
HD현대에너지솔루션,322000,2019-11-19,"446,693,658","419,090,026","559,506,939","1,022,975,319",0,"22,229,045","11,339,629","6,288,776","95,989,545",0,"23,708,376","8,157,647","-8,970,771","64,390,770",0
에스제이그룹,306040,2019-11-18,"100,118,312","92,039,016","117,197,651","150,354,074",0,"16,097,872","15,841,961","21,335,212","25,981,150",0,"12,419,280","13,675,091","17,065,641","21,691,370",0
제테마,216080,2019-11-14,"13,300,388","20,659,506","33,222,759","45,993,818",0,"-10,734,910","-5,586,924","2,278,946","4,005,812",0,"-14,724,378","-9,326,884","10,884,105","1,455,004",0
한화시스템,272210,2019-11-13,"1,519,479,274","1,631,867,960","2,089,500,660","2,187,405,670",0,"85,753,539","99,174,146","135,721,250","93,679,890",0,"72,921,871","103,954,739","131,285,710","28,545,981",0
라파스,214260,2019-11-11,"17,927,889","14,810,931","16,319,371","17,657,717",0,"-185,176","-4,326,565","-594,188","-5,656,630",0,"133,284","-4,567,194","4,869,452","-8,282,334",0
아이티엠반도체,084850,2019-11-07,"395,351,385","359,031,037","488,533,825","604,898,839",0,"47,504,878","31,268,763","22,535,448","9,154,620",0,"36,894,277","21,864,558","25,826,996","11,375,697",0
자이에스앤디,317400,2019-11-06,"277,945,339","356,212,405","435,730,829","589,689,077",0,"16,473,465","27,342,268","50,822,721","92,750,362",0,"12,432,811","20,910,064","36,537,411","72,515,496",0
일승,333430,2019-11-06,"22,776,660","37,108,661","33,174,897","40,790,647",0,"1,664,798","4,709,555","1,861,093","1,877,504",0,"1,891,786","3,654,610","-6,656,504","2,077,152",0
미디어젠,279600,2019-11-05,"13,908,713","11,880,240","14,995,449","17,355,906",0,"-740,285","-212,500","-68,283","-2,038,724",0,"-549,926","-357,659","159,829","-1,863,151",0
하나금융14호스팩,332710,2019-11-01,0,0,0,0,0,"-64,575",0,0,0,0,"-43,125",0,0,0,0
모코엠시스,333050,2019-10-31,0,"24,488,982","26,304,385","23,206,668",0,"-183,339","2,175,820","3,737,000","1,547,753",0,"-140,651","1,439,632","2,983,385","-1,720,965",0
티라유텍,322180,2019-10-31,"28,539,531","34,623,053","39,326,882","35,298,403",0,"2,220,862","-1,330,950","-7,892,968","-2,123,521",0,"2,616,116","-1,082,089","-8,698,553","-2,934,132",0
롯데리츠,330590,2019-10-30,"22,491,885","38,327,151","56,179,895","57,920,144",0,"14,503,657","24,151,382","32,765,811","34,108,114",0,"10,581,368","15,613,437","18,405,982","14,114,825",0
지누스,013890,2019-10-30,"246,121,950","203,704,518","333,176,643","269,751,716",0,"57,581,429","66,060,710","22,898,576","21,819,621",0,"41,411,226","83,801,685","22,503,133","2,417,491",0
캐리소프트,317530,2019-10-29,"9,432,284","3,505,092","3,738,925","7,837,170",0,"-1,628,005","-2,714,220","-2,400,391","-1,485,685",0,"-1,868,074","-3,675,732","-2,540,265","-2,511,061",0
밸로프,331520,2019-10-29,0,0,0,"23,625,286",0,"-59,938","-93,458","-61,395","3,240,120",0,"-40,733","-35,943","-40,409","1,591,648",0
한국미라클피플사,331660,2019-10-28,"22,768,889","31,754,532","22,463,884","29,945,359",0,"-2,115,861","1,446,586","-2,212,980","387,897",0,"-1,970,853","597,320","-2,947,448","-654,851",0
케이엔제이,272110,2019-10-25,"56,583,038","42,512,516","46,042,673","61,517,172",0,"3,517,369","2,396,858","2,761,983","12,411,535",0,"4,148,331","-5,210,063","3,958,991","9,289,436",0
엔바이오니아,317870,2019-10-24,"9,720,397","8,190,363","7,645,627","8,789,297",0,"1,335,310","-989,198","-919,532","-1,248,478",0,"987,629","-1,948,889","-2,421,100","-444,979",0
팜스빌,318010,2019-10-22,"29,855,066","39,303,630","38,952,037","26,019,518",0,"7,214,688","4,476,751","6,205,033","4,051,822",0,"7,341,856","3,024,119","5,058,316","4,066,669",0
라온피플,300120,2019-10-18,"30,770,552","15,041,930","19,581,768","25,834,269",0,"8,204,511","-4,113,481","-6,353,568","3,939,543",0,"8,434,788","-4,028,372","-6,175,598","-230,930",0
두산퓨얼셀,336260,2019-10-18,"221,171,085","461,838,982","381,412,348","312,148,721",0,"19,487,653","26,033,942","17,990,182","7,221,936",0,"11,870,980","14,190,288","8,695,162","3,863,590",0
콘텐트리중앙,036420,2019-10-18,"73,377,032","28,670,268","13,556,692","28,961,339",0,"-13,956,095","1,551,136","-1,455,095","-1,865,959",0,"940,542","-35,140,996","-219,928,690","166,031,577",0
솔루스첨단소재,336370,2019-10-18,"44,849,479","126,048,680","134,452,304","132,773,843",0,"20,917,669","26,665,796","29,850,083","40,282,807",0,"15,330,998","40,222,675","12,194,935","39,317,266",0
아톤,158430,2019-10-17,"28,938,772","24,287,266","37,671,098","36,752,154",0,"4,120,703","3,369,392","8,586,558","7,820,370",0,"-11,450,327","1,858,986","951,058","16,232,757",0
녹십자웰빙,234690,2019-10-14,"66,937,567","75,603,023","90,967,529","109,729,117",0,"7,624,194","2,316,457","7,771,594","8,395,934",0,"5,699,385","1,529,212","6,702,856","8,001,050",0
누보,332290,2019-10-11,0,"45,666,703","60,966,340","70,626,559",0,"-30,095","1,846,736","434,331","-3,453,275",0,"-41,328","549,964","-4,637,566","-5,185,891",0
포커스에이치엔에스,331380,2019-10-02,"28,808,493","32,825,697","48,150,107","61,625,592",0,"1,785,373","2,353,486","4,110,433","2,664,915",0,"1,105,526","2,142,501","-14,281","2,684,915",0
엔지브이아이,093510,2019-09-30,"5,237,200","3,474,580","1,130,248","869,415",0,"143,850","-263,813","-1,172,335","-2,118,888",0,"80,299","-268,369","-987,024","-1,745,479",0
케이비제19호스팩,330990,2019-09-30,0,0,0,0,0,"-48,547",0,0,0,0,"-18,422",0,0,0,0
올리패스,244460,2019-09-20,"320,262","269,816","48,000","411,375",0,"-17,060,716","-20,333,196","-22,809,621","-21,971,368",0,"-41,022,216","-22,047,895","-24,063,434","-22,120,796",0
라닉스,317120,2019-09-18,"9,044,034","9,127,006","9,214,694","10,984,971",0,"-1,874","-1,648,312","-2,105,482","-1,558,789",0,"-131,591","-2,279,593","-2,542,930","-5,061,997",0
윈텍,320000,2019-09-18,"19,944,057","11,239,478","15,405,211","20,269,062",0,"2,450,713","219,955","577,869","1,801,559",0,"2,066,945","-1,615,980","670,470","1,770,713",0
한독크린텍,256150,2019-09-05,"48,359,058","61,027,594","52,658,011","59,149,129",0,"6,072,417","9,409,064","4,863,340","5,073,185",0,"4,802,734","8,248,808","4,636,918","5,065,116",0
아퓨어스,149300,2019-09-03,"502,293","364,646","868,721","785,477",0,"-4,004,611","-4,447,796","-4,967,738","-4,350,197",0,"-7,811,481","-11,057,313","-2,754,976","-5,236,804",0
네오크레마,311390,2019-08-22,"18,448,423","22,124,649","22,908,279","23,996,910",0,"776,937","3,104,153","1,969,439","1,550,053",0,"1,258,938","2,270,960","985,190","-888,504",0
솔트웨어,328380,2019-08-20,0,"29,442,339","40,022,054","31,349,477",0,"-30,377","1,371,751","1,308,724","-586,602",0,"12,490","680,018","721,503","-4,855,414",0
마니커에프앤지,195500,2019-08-20,"99,832,950","92,297,704","84,928,791","89,362,825",0,"4,373,751","3,702,176","47,745","-1,722,244",0,"2,944,573","3,300,386","-177,984","-262,347",0
나노브릭,286750,2019-08-19,"7,775,408","8,651,931","7,004,484","7,139,299",0,"-1,512,607","67,221","-1,635,040","-3,582,367",0,"-763,049","-91,587","-2,824,300","-2,609,052",0
에스피시스템스,317830,2019-08-14,"29,033,491","28,461,763","23,759,438","30,894,395",0,"1,499,256","636,019","-976,858","772,440",0,"1,812,968","422,282","-1,168,355","322,421",0
레이,228670,2019-08-08,"64,544,473","47,098,331","68,477,254","93,078,964",0,"12,943,789","3,230,195","-1,454,443","15,448,001",0,"11,479,305","6,691,716","-3,817,114","9,453,896",0
그린플러스,186230,2019-08-07,"39,502,728","55,545,281","76,237,910","78,522,376",0,"3,430,717","5,419,705","5,717,708","5,194,822",0,"2,435,883","-1,930,086","-4,044,435","-2,978,395",0
케어룸의료산업,327970,2019-08-05,"12,625,945",0,0,0,0,"664,076",0,0,0,0,"663,281",0,0,0,0
코윈테크,282880,2019-08-05,"91,102,339","40,227,067","71,760,051","133,035,961",0,"20,659,243","-1,086,829","2,370,689","1,440,579",0,"16,968,576","1,106,050","3,774,873","-2,021,976",0
덕산테코피아,317330,2019-08-02,"61,838,936","78,379,152","112,372,761","110,913,950",0,"13,430,392","14,477,252","23,228,772","14,208,060",0,"11,129,648","12,878,622","18,237,584","15,190,712",0
KBG,318000,2019-08-01,"18,525,956","19,787,711","27,201,366","24,346,169",0,"3,016,471","3,412,205","5,890,452","4,105,345",0,"-1,404,532","3,122,793","4,003,591","3,252,436",0
슈프리마아이디,317770,2019-08-01,"11,911,093","8,238,566","14,179,406","14,470,356",0,"697,715","78,693","2,954,755","2,693,569",0,"1,224,490","480,261","3,248,885","2,967,147",0
세경하이테크,148150,2019-07-30,"150,591,566","61,447,788","69,117,211","53,620,156",0,"19,374,343","1,164,099","7,339,838","1,634,416",0,"18,278,437","-4,169,153","11,810,497","12,614,241",0
윌링스,313760,2019-07-25,"42,871,637","63,238,933","36,106,051","52,319,151",0,"3,481,272","-110,160","-1,265,541","-12,704,680",0,"3,090,076","320,337","-295,846","-13,923,340",0
대모,317850,2019-07-24,"42,446,435","38,385,964","47,496,611","54,123,260",0,"1,044,851","481,582","64,888","2,732,178",0,"1,734,914","123,317","4,004,352","1,929,304",0
에이스토리,241840,2019-07-19,"28,238,091","22,095,888","58,737,698","68,373,722",0,"-1,073,302","-877,119","6,761,389","7,375,630",0,"-1,184,915","-7,381,012","16,878,968","3,163,749",0
플리토,300080,2019-07-17,"1,861,889","7,214,500","8,993,318","12,481,315",0,"-5,780,347","-3,452,512","-6,249,988","-6,763,898",0,"-5,923,842","-2,995,648","-5,869,007","-5,922,857",0
헥토파이낸셜,234340,2019-07-12,"65,559,474","77,148,393","104,368,309","121,638,498",0,"13,432,507","11,102,617","15,401,382","14,166,942",0,"12,879,368","11,585,193","17,352,026","17,509,544",0
아이스크림에듀,289010,2019-07-11,"106,436,331","115,520,448","128,568,296","133,842,492",0,"5,378,255","-1,559,116","-6,900,606","2,092,801",0,"4,981,294","750,125","-7,303,021","817,713",0
펨토바이오메드,327610,2019-07-10,"210,865","250,432","230,494","183,372",0,"-2,803,905","-3,571,483","-4,005,926","-5,718,123",0,"-4,548,697","-3,570,699","-9,335,939","-1,225,297",0
펌텍코리아,251970,2019-07-04,"161,858,814","143,748,052","159,474,433","173,637,037",0,"25,476,282","19,619,587","21,808,054","26,163,715",0,"19,511,111","16,953,698","16,225,882","18,894,078",0
에이에프더블류,312610,2019-07-01,"25,961,807","11,316,325","7,169,493","4,437,379",0,"7,239,019","503,977","-2,490,608","-3,992,270",0,"5,599,362","1,638,946","-4,259,385","-3,368,688",0
티티씨디펜스,309900,2019-06-27,"12,531,166",0,0,0,0,"-1,989,279",0,0,0,0,"-609,622",0,0,0,0
태성,323280,2019-06-24,0,"31,054,670","43,702,853","60,944,730",0,"-139,630","2,009,168","4,519,247","2,228,275",0,"-56,250","57,632","9,259,835","-454,628",0
엠에프엠코리아,323230,2019-06-19,"88,487,130","61,085,231","89,271,931","78,305,022",0,"2,518,948","-1,518,456","-1,707,831","-702,964",0,"1,225,167","-4,394,424","-5,248,881","941,814",0
압타바이오,293780,2019-06-12,"1,018,572","341,044","223,677","48,353",0,"-7,151,021","-6,064,788","-11,366,985","-9,506,766",0,"-6,297,931","-3,918,874","-10,689,063","-10,564,737",0
까스텔바작,308100,2019-06-10,"81,068,234","67,130,253","66,813,040","59,556,496",0,"9,287,318","7,967,138","-2,961,890","-6,141,285",0,"7,090,294","2,652,048","-4,596,072","-6,019,796",0
마이크로디지탈,305090,2019-06-05,"3,926,071","2,290,187","4,304,628","8,883,699",0,"-6,371,186","-10,510,885","-6,432,060","-7,952,738",0,"-6,297,073","-10,468,629","-7,628,337","-9,363,892",0
프로이천,321260,2019-05-31,"29,749,531","28,620,851","34,034,710","37,396,722",0,"3,174,421","2,872,676","2,130,603","3,249,261",0,"2,797,927","1,913,932","-916,033","3,713,750",0
코퍼스코리아,322780,2019-05-31,"6,627,584","8,221,433","15,948,551","10,125,807",0,"3,346,892","4,496,649","7,764,654","4,446,298",0,"2,767,030","2,120,742","8,092,226","-1,486,703",0
포스코퓨처엠,003670,2019-05-29,"1,434,507,299","1,524,145,793","1,939,523,998","3,041,287,029",0,"87,564,073","60,449,786","120,612,067","153,190,221",0,"89,609,078","55,853,976","119,124,207","114,853,461",0
수젠텍,253840,2019-05-28,"3,845,081","41,351,848","77,201,041","101,399,256",0,"-6,961,495","23,020,689","34,829,934","25,478,916",0,"-9,469,715","-40,560,959","35,516,225","26,674,309",0
컴퍼니케이,307930,2019-05-23,"16,908,800","18,629,367","27,444,773","15,843,841",0,0,0,0,0,0,"8,512,030","9,860,828","18,890,351","6,471,097",0
다원넥스뷰,323350,2019-05-21,"2,702,084","4,026,396","12,556,683","10,991,070",0,"89,492","-1,102,330","530,768","1,087,689",0,"40,047","-2,784,710","506,357","-842,079",0
피에스케이,319660,2019-05-10,"137,720,048","248,772,024","422,915,548","429,940,100",0,"8,134,408","25,156,053","88,126,396","78,379,188",0,"10,618,204","22,152,063","75,182,677","69,135,567",0
현대무벡스,319400,2019-05-08,"171,682,723","197,141,951","237,775,703","210,548,713",0,"10,677,456","16,872,875","15,629,591","13,781,764",0,"6,107,565","11,090,735","8,667,153","9,378,536",0
SNK,950180,2019-05-07,"90,631,327",0,0,0,0,"39,873,553",0,0,0,0,"27,657,701",0,0,0,0
TS트릴리온,317240,2019-04-29,"69,311,667","60,652,758","47,232,888","60,048,029",0,"4,365,771","3,393,348","-4,983,492","-5,361,474",0,"2,971,744","-2,520,580","-7,233,924","-9,846,377",0
이노벡스,279060,2019-04-12,"6,201,379","4,389,488","3,093,537","8,072,863",0,"-155,645","-1,948,012","-2,779,668","-2,029,520",0,"-421,524","-5,320,893","-2,510,677","-2,319,722",0
아모그린텍,125210,2019-03-29,"93,385,523","111,773,856","122,067,716","142,128,438",0,"2,612,745","1,580,586","1,764,864","8,835,374",0,"1,716,950","1,093,463","2,684,870","11,415,403",0
현대오토에버,307950,2019-03-28,"1,185,074,572","1,195,747,889","1,684,953,150","2,240,816,395",0,"64,565,099","71,318,758","78,675,602","124,351,998",0,"52,262,184","51,254,588","61,374,373","106,628,632",0
지노믹트리,228760,2019-03-27,"281,626","1,774,188","2,416,505","2,052,847",0,"-9,490,036","-9,195,766","-8,851,685","-11,468,088",0,"-10,194,766","-11,795,122","-11,424,524","-6,630,819",0
이지케어텍,099750,2019-03-22,"55,711,174","64,646,707","76,752,276","91,181,993",0,"3,660,817","-1,751,369","-3,280,480","846,362",0,"3,900,832","-990,868","-7,918,870","-3,190,472",0
미래에셋벤처투자,100790,2019-03-15,"39,490,617","52,110,422","98,907,905","71,062,150",0,0,0,0,0,0,"10,862,817","26,638,975","65,900,657","41,386,371",0
드림텍,192650,2019-03-14,"409,390,388","401,396,072","553,586,238","641,554,240",0,"11,941,949","2,495,023","29,393,096","66,059,984",0,"9,518,819","5,008,368","17,081,997","54,777,454",0
더블유게임즈,192080,2019-03-12,"200,271,920","238,873,234","213,362,973","206,870,475",0,"78,391,033","95,691,910","75,472,028","56,970,366",0,"110,292,805","132,915,746","125,335,327","-7,231,350",0
에코프로비엠,247540,2019-03-05,"616,085,055","855,210,355","1,486,137,573","3,415,313,943",0,"37,077,550","55,984,931","127,265,730","262,632,141",0,"34,481,004","47,653,397","106,745,921","175,255,684",0
셀리드,299660,2019-02-20,0,0,"909,091","480,000",0,"-3,530,763","-5,286,616","-13,010,878","-14,911,334",0,"-2,493,555","-4,125,998","-13,070,514","-22,864,575",0
우리금융지주,316140,2019-02-13,0,0,0,0,0,0,0,0,0,0,"628,293,000","595,318,000","594,852,000","1,183,249,000",0
천보,278280,2019-02-11,"96,951,371","89,650,588","92,937,566","94,444,386",0,"17,901,298","15,392,104","14,707,368","15,765,467",0,"15,648,792","14,353,282","16,265,033","-641,451",0
이노테라피,246960,2019-02-01,"663,076","568,191","458,602","325,948",0,"-3,352,988","-3,186,491","-3,967,223","-3,828,155",0,"-3,988,932","-3,047,460","-5,029,220","-5,971,858",0
