(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
티이엠씨,425040,2023-01-19,"36,425,599","67,037,096","88,323,515","346,654,652",0,"3,710,915","8,744,674","12,367,819","52,041,545",0,"3,077,311","5,914,848","10,386,015","41,356,275",0
옵티코어,380540,2022-12-29,"17,572,456","16,138,078","33,352,513","24,198,585",0,"1,785,216","-2,244,203","5,564,798","-2,469,191",0,"1,876,399","-2,499,715","2,563,173","-10,587,575",0
타이드,346010,2022-12-28,"870,794","11,010,875","18,530,966","6,831,122",0,"-3,705,193","1,847,443","509,982","-1,732,698",0,"-2,685,028","1,849,182","319,168","-2,207,485",0
아이오바이오,447690,2022-12-28,0,"861,699","1,317,146","1,191,396",0,0,"-2,323,686","-1,619,595","-1,920,187",0,0,"-2,283,087","-1,651,956","-1,515,055",0
신영스팩9호,445970,2022-12-27,0,0,0,0,0,0,0,0,"-26,194",0,0,0,0,"-24,263",0
지에프씨생명과학,388610,2022-12-23,"11,350,449","13,324,201","13,736,571","14,158,238",0,"857,618","408,676","1,378,785","602,551",0,"448,696","-2,862,569","1,617,045","327,303",0
신스틸,162300,2022-12-23,"142,988,862","158,223,517","248,358,873","275,134,563",0,"2,278,912","2,522,986","13,995,849","11,046,897",0,"3,110,275","1,670,026","17,051,808","5,887,783",0
카이바이오텍,446600,2022-12-23,0,"776,932","2,081,571","4,483,512",0,0,"-1,238,919","-469,751","-503,327",0,0,"-1,330,781","-545,478","-571,495",0
바이오노트,377740,2022-12-22,"40,047,497","631,310,435","620,046,067","475,158,632",0,"10,034,575","559,022,031","471,364,335","298,440,452",0,"20,878,351","414,064,626","396,366,331","149,679,211",0
비엔케이제1호스팩,445360,2022-12-22,0,0,0,0,0,0,0,0,"-20,447",0,0,0,0,"-13,016",0
애니메디솔루션,390110,2022-12-21,0,"131,746","334,340","655,390",0,0,"-3,739,473","-7,870,684","-6,470,740",0,0,"-4,555,458","-11,157,925","-7,014,810",0
마이크로엔엑스,448780,2022-12-21,"8,025,062","5,237,495","7,031,404","8,731,655",0,"350,351","-94,415","204,660","1,111,074",0,"92,618","-443,658","24,863","783,927",0
엔에이치스팩27호,440820,2022-12-16,0,0,0,0,0,0,0,0,"-20,961",0,0,0,0,"22,107",0
IBKS제21호스팩,442770,2022-12-16,0,0,0,0,0,0,0,0,"-31,803",0,0,0,0,"-25,387",0
핑거스토리,417180,2022-12-08,0,"13,079,275","16,339,166","17,409,150",0,0,"666,555","1,223,880","986,842",0,0,"667,779","1,049,330","-3,606,105",0
SAMG엔터,419530,2022-12-06,"16,509,469","23,559,441","38,374,162","68,319,252",0,"-1,077,877","-1,026,530","3,358,685","265,377",0,"-4,043,796","-10,437,508","-11,086,849","-22,423,778",0
대신밸런스제14호스팩,442310,2022-12-05,0,0,0,0,0,0,0,0,"-32,713",0,0,0,0,"-5,452",0
유진스팩9호,442130,2022-12-01,0,0,0,0,0,0,0,0,"-23,042",0,0,0,0,"-1,553",0
엔에이치스팩26호,439410,2022-12-01,0,0,0,0,0,0,0,0,"-22,164",0,0,0,0,"52,480",0
아하,102950,2022-11-30,"33,231,519","34,257,306","61,836,806","71,023,341",0,"2,673,087","1,706,389","9,254,241","7,544,139",0,"1,486,995","762,203","2,086,595","4,695,537",0
에이아이더뉴트리진,311960,2022-11-29,0,"5,623,188","8,415,718","7,274,033",0,0,"859,529","1,258,411","-1,182,088",0,0,"1,458,419","1,019,853","-780,815",0
대신밸런스제13호스팩,438220,2022-11-28,0,0,0,0,0,0,0,0,"-33,065",0,0,0,0,"-8,427",0
유니드비티플러스,446070,2022-11-28,0,0,0,"29,221,282",0,0,0,0,"1,427,051",0,0,0,0,"959,502",0
펨트론,168360,2022-11-24,"44,008,472","43,560,148","57,736,502","60,982,717",0,"1,532,891","521,886","4,164,927","6,263,106",0,"1,406,716","360,207","4,490,718","5,114,782",0
인벤티지랩,389470,2022-11-22,0,"531,737","1,861,755","3,723,683",0,0,"-5,536,820","-9,557,906","-10,901,805",0,0,"-12,880,030","-9,271,261","-10,595,329",0
엔젯,419080,2022-11-18,0,"3,329,155","10,054,924","21,665,643",0,0,"-1,441,955","1,767,080","5,296,439",0,0,"408,825","-29,867,129","4,113,326",0
유비온,084440,2022-11-18,"18,674,916","22,645,546","28,067,132","31,461,108",0,"455,970","1,468,624","1,724,098","2,344,665",0,"435,467","36,338","1,441,309","2,150,768",0
티쓰리,204610,2022-11-17,"18,607,981","21,614,576","23,128,163","22,142,677",0,"5,728,603","4,927,900","10,494,520","9,298,268",0,"8,209,964","2,515,798","10,980,704","9,169,761",0
티에프이,425420,2022-11-17,"38,230,448","49,537,697","66,421,400","58,639,931",0,"4,478,065","8,063,090","9,062,450","5,785,247",0,"5,316,766","6,194,935","8,643,934","4,871,962",0
윤성에프앤씨,372170,2022-11-14,"89,321,688","128,881,683","75,893,660","210,275,586",0,"9,253,366","18,974,101","-4,608,546","32,072,533",0,"6,773,920","13,461,528","-2,915,367","24,762,677",0
디티앤씨알오,383930,2022-11-11,"10,587,455","20,088,806","32,748,665","44,007,700",0,"-1,986,107","378,828","4,907,063","5,293,711",0,"-2,052,888","-1,395,807","4,327,534","5,255,503",0
뉴로메카,348340,2022-11-04,0,"4,065,682","7,333,081","9,620,858",0,0,"-8,027,734","-2,743,394","-7,846,711",0,0,"-8,140,448","-6,667,638","-8,256,456",0
제이아이테크,417500,2022-11-04,"17,023,116","19,893,358","20,497,336","68,290,729",0,"3,341,690","3,946,326","5,658,097","10,390,051",0,"3,129,891","2,634,843","4,732,681","10,531,497",0
엔에이치스팩25호,438580,2022-11-03,0,0,0,0,0,0,0,0,"-22,623",0,0,0,0,"16,759",0
케이비제23호스팩,440200,2022-11-03,0,0,0,0,0,0,0,0,"-64,815",0,0,0,0,"25,159",0
LX세미콘,108320,2022-11-03,"867,122,050","1,161,896,286","1,898,845,716","2,119,345,364",0,"46,810,862","93,723,261","368,629,567","309,045,577",0,"38,239,788","72,290,706","294,897,620","230,607,639",0
큐알티,405100,2022-11-02,"46,502,899","53,401,001","70,488,997","56,902,827",0,"6,643,656","9,049,375","18,667,056","11,959,303",0,"4,510,027","5,433,788","15,478,142","6,927,295",0
교보13호스팩,440790,2022-11-02,0,0,0,0,0,0,0,0,"-42,154",0,0,0,0,"-11,619",0
저스템,417840,2022-10-28,"31,970,367","45,577,744","44,826,695","46,098,648",0,"5,264,664","7,781,960","7,193,676","7,144,356",0,"4,164,557","5,364,300","5,731,882","6,322,186",0
IBKS제20호스팩,439730,2022-10-28,0,0,0,0,0,0,0,0,"-28,754",0,0,0,0,"4,935",0
산돌,419120,2022-10-27,"6,893,110","9,878,795","11,197,397","17,544,241",0,"1,659,972","3,460,747","4,529,094","8,234,981",0,"1,714,677","1,895,933","172,928","8,833,451",0
삼성스팩7호,439250,2022-10-26,0,0,0,0,0,0,0,0,"-30,697",0,0,0,0,"123,696",0
탈로스,434190,2022-10-24,0,"8,306,626","8,552,935","12,856,659",0,0,"888,918","630,513","2,330,214",0,0,"601,834","268,403","885,239",0
플라즈맵,405000,2022-10-21,0,"2,955,773","6,348,540","13,305,796",0,0,"-6,687,009","-10,643,870","-15,251,744",0,0,"-16,074,965","-21,682,344","-15,515,627",0
핀텔,291810,2022-10-20,"2,596,328","4,886,319","8,209,143","8,765,256",0,"93,064",-838,"-853,260","-3,657,564",0,"87,318","-24,412","-2,416,436","-3,764,289",0
한국제11호스팩,436610,2022-10-20,0,0,0,0,0,0,0,0,"-21,643",0,0,0,0,"46,718",0
하나금융25호스팩,435620,2022-10-20,0,0,0,0,0,0,0,0,"-18,143",0,0,0,0,"237,848",0
엔에이치스팩24호,437780,2022-10-20,0,0,0,0,0,0,0,0,"-27,154",0,0,0,0,"36,303",0
샤페론,378800,2022-10-19,0,0,"522,840","2,000,000",0,0,"-6,770,205","-10,466,259","-11,029,970",0,0,"-26,542,799","-23,833,245","-10,672,728",0
비스토스,419540,2022-10-18,0,"18,022,850","20,522,377","23,963,204",0,0,"1,383,070","1,591,984","912,890",0,0,"1,695,621","1,853,395","-4,502,438",0
탑머티리얼,360070,2022-10-18,0,"6,710,201","31,904,393","63,019,955",0,0,"468,790","4,819,979","11,772,052",0,0,"321,312","4,284,441","10,555,713",0
에스비비테크,389500,2022-10-17,"6,019,507","6,606,806","6,779,379","7,469,840",0,"-3,769,930","-2,616,470","-2,227,144","-1,836,705",0,"-4,789,125","-3,276,516","-2,815,924","-5,266,381",0
오에스피,368970,2022-10-14,"14,903,453","15,566,712","15,694,538","16,800,325",0,"2,920,444","3,934,799","2,803,559","1,093,401",0,"2,237,419","3,313,228","2,876,300","1,101,244",0
파인엠텍,441270,2022-10-07,0,0,0,"38,750,913",0,0,0,0,"5,229,533",0,0,0,0,"-8,160,627",0
이노룰스,296640,2022-10-07,"13,406,301","10,634,043","15,979,685","15,578,058",0,"2,768,827","1,187,901","3,314,891","1,109,361",0,"618,692","1,591,312","3,009,484","1,977,691",0
