시장구분,회사명,종목코드,신고서제출일,수요예측일정,청약일정,납입일,상장예정일,상장일,주관사,주요제품,상장유형,증권구분,업종_x,국적,공모금액(백만원),액면가 (원),공모가 (원),최초상장주식수 (주),상장일시가,공모가등락률,상장일종가,상장일등락률,1개월주가,1개월등락률,3개월주가,3개월등락률,6개월주가,6개월등락률,1년주가,1년등락률,report_year,매출액,영업이익,당기순이익,미국채권10년price,미국채권10년var,미국채권10년5MA,미국채권10년20MA,미국채권10년60MA,미국채권10년5MA_line,미국채권10년20MA_line,미국채권10년60MA_line,미국채권10년변동5MA,비트코인price,비트코인var,비트코인5MA,비트코인20MA,비트코인60MA,비트코인5MA_line,비트코인20MA_line,비트코인60MA_line,비트코인변동5MA,VIXprice,VIXvar,VIX5MA,VIX20MA,VIX60MA,VIX5MA_line,VIX20MA_line,VIX60MA_line,VIX변동5MA,환율price,환율var,환율5MA,환율20MA,환율60MA,환율5MA_line,환율20MA_line,환율60MA_line,환율변동5MA,유가price,유가var,유가5MA,유가20MA,유가60MA,유가5MA_line,유가20MA_line,유가60MA_line,유가변동5MA,금price,금var,금5MA,금20MA,금60MA,금5MA_line,금20MA_line,금60MA_line,금변동5MA,천연가스price,천연가스var,천연가스5MA,천연가스20MA,천연가스60MA,천연가스5MA_line,천연가스20MA_line,천연가스60MA_line,천연가스변동5MA,나스닥지수price,나스닥지수var,나스닥지수5MA,나스닥지수20MA,나스닥지수60MA,나스닥지수5MA_line,나스닥지수20MA_line,나스닥지수60MA_line,나스닥지수거래량,나스닥지수변동5MA,코스피지수price,코스피지수var,코스피지수5MA,코스피지수20MA,코스피지수60MA,코스피지수5MA_line,코스피지수20MA_line,코스피지수60MA_line,코스피지수거래량,코스피지수변동5MA
코스닥 상장추진,드림씨아이에스,223250,2020-04-10,2020-05-07,2020-05-12,2020-05-15,2020-05-22,2020-05-22,엔에이치투자증권주식회사,시판후조사대행(rPMS),신규상장,주권,자연과학 및 공학 연구개발업,대한민국,20186.0,500.0,14900.0,5419150.0,28000.0,87.9,30500.0,104.7,26050.0,74.8,24500.0,64.4,19550.0,31.2,17400.0,16.8,2020,22108907.0,4335672.0,4150871.0,139.16,0.07,138.95,138.9755,138.20333333333332,-0.21000000000000796,-0.18449999999998568,-0.9566666666666777,-0.023999999999999924,9162.4,1.14,9441.759999999998,9301.380000000001,7867.994999999999,279.35999999999876,138.98000000000138,-1294.4050000000007,-1.0420000000000011,28.16,-4.64,29.101999999999997,31.922499999999996,44.78433333333333,0.9419999999999966,3.7624999999999957,16.62433333333333,-2.2760000000000002,1240.59,0.6,1230.242,1224.7225,1221.6328333333333,-10.347999999999956,-15.867499999999836,-18.95716666666658,0.12799999999999997,33.25,-1.98,32.995999999999995,24.6605,24.9905,-0.2540000000000049,-8.589500000000001,-8.2595,2.5220000000000002,1735.5,0.79,1737.9,1720.725,1669.3149999999998,2.400000000000091,-14.775000000000091,-66.18500000000017,-0.23199999999999976,1.731,1.23,1.7650000000000001,1.8211499999999998,1.7618,0.03400000000000003,0.09014999999999973,0.03079999999999994,1.1060000000000003,9324.59,0.43,9281.036,8982.191499999999,8303.302,-43.55400000000009,-342.39850000000115,-1021.2880000000005,74603.0,0.6880000000000003,1970.13,-1.41,1975.1599999999999,1936.4450000000002,1862.4511666666665,5.029999999999745,-33.684999999999945,-107.67883333333361,84747.0,0.45000000000000046
코스닥 상장추진,에스씨엠생명과학,298060,2020-05-12,2020-06-02,2020-06-08,2020-06-11,2020-06-17,2020-06-17,한국투자증권㈜,세포치료제,신규상장,주권,의약품 제조업,대한민국,30600.0,500.0,17000.0,11026646.0,29500.0,73.5,36100.0,112.4,26000.0,52.9,31500.0,85.3,34700.0,104.1,31700.0,86.5,2020,168499.0,-12202218.0,-42553754.0,138.97,0.12,139.08200000000002,138.845,138.83149999999998,0.11200000000002319,-0.125,-0.13850000000002183,0.014000000000000068,9473.3,-0.64,9453.56,9614.734999999999,9028.31,-19.73999999999978,141.4349999999995,-444.9899999999998,0.015999999999998703,33.47,-0.59,35.684000000000005,29.391999999999996,37.36133333333333,2.2140000000000057,-4.078000000000003,3.8913333333333284,5.808000000000001,1215.41,0.3,1209.102,1217.9725,1221.1961666666668,-6.307999999999993,2.5625,5.786166666666759,0.41600000000000004,37.96,-1.09,37.212,36.285999999999994,26.033666666666665,-0.7479999999999976,-1.6740000000000066,-11.926333333333336,-0.7559999999999993,1735.6,-0.05,1735.28,1724.73,1710.65,-0.31999999999993634,-10.86999999999989,-24.949999999999818,0.17600000000000024,1.638,1.49,1.693,1.7712999999999997,1.7705666666666668,0.05500000000000016,0.13329999999999975,0.13256666666666694,-1.6119999999999997,9910.53,0.15,9722.792,9619.136499999999,8810.267166666667,-187.7380000000012,-291.39350000000195,-1100.2628333333341,101000.0,-0.18599999999999975,2141.05,0.14,2123.8,2095.1189999999997,1923.1563333333334,-17.25,-45.931000000000495,-217.89366666666683,92752.0,-0.44799999999999934
유가증권 상장추진,에스케이바이오팜,326030,2020-05-19,2020-06-16,2020-06-23,2020-06-26,2020-07-02,2020-07-02,"엔에이치투자증권주식회사,씨티그룹글로벌마켓증권㈜",신경질환 및 정신질환을 포함한 중추신경 관련 신약 개발,신규상장,주권,자연과학 및 공학 연구개발업,대한민국,959337.0,500.0,49000.0,78313250.0,98000.0,100.0,127000.0,159.2,186500.0,280.6,159000.0,224.5,171000.0,249.0,123500.0,152.0,2020,123814229.0,-87619325.0,-90983120.0,139.09,0.1,139.152,138.8545,138.93116666666668,0.0619999999999834,-0.23550000000000182,-0.15883333333331962,0.02600000000000008,9100.0,-1.51,9162.539999999999,9327.785,9385.726666666666,62.539999999999054,227.78499999999985,285.72666666666555,0.19399999999999867,27.68,-3.28,30.648000000000003,31.7195,33.04483333333333,2.9680000000000035,4.0395,5.36483333333333,-2.8360000000000003,1198.75,-0.23,1200.5,1204.1970000000001,1218.1848333333335,1.75,5.447000000000116,19.434833333333472,-0.05799999999999998,40.65,2.08,39.586,38.821,28.99816666666667,-1.064,-1.8290000000000006,-11.651833333333329,0.9900000000000008,1790.0,0.57,1786.3799999999999,1750.8600000000001,1733.8983333333335,-3.6200000000001182,-39.13999999999987,-56.10166666666646,0.22200000000000028,1.734,3.77,1.672,1.6815000000000002,1.7636833333333333,-0.062000000000000055,-0.05249999999999977,0.029683333333333284,3.37,10207.63,0.52,10010.478,9919.123,9251.230000000001,-197.15200000000004,-288.5069999999996,-956.3999999999978,88700.0,0.39000000000000024,2135.37,1.36,2115.706,2137.7475,2006.6621666666665,-19.66399999999976,2.3775000000000546,-128.70783333333338,109000.00000000001,0.22200000000000056
코스닥 상장추진,신도기연,290520,2020-05-28,2020-06-22,2020-06-25,2020-06-29,2020-07-06,2020-07-06,한국투자증권㈜,"OLED용 후공정장비(라미네이터, 오토클레이브 등)",신규상장,주권,특수 목적용 기계 제조업,대한민국,20800.0,500.0,16000.0,8061280.0,16206.0,100.0,11344.0,40.0,10458.0,29.1,11268.0,39.1,9698.0,19.7,9166.0,13.1,2020,83428397.0,16613876.0,14920105.0,138.98,-0.14,139.074,138.99849999999998,138.96216666666666,0.09400000000002251,0.01849999999998886,-0.017833333333328483,-0.049999999999999926,9361.0,2.99,9154.460000000001,9271.675,9379.875,-206.53999999999905,-89.32500000000073,18.875,0.2739999999999988,27.94,0.94,28.470000000000006,31.983999999999998,32.554833333333335,0.5300000000000047,4.043999999999997,4.614833333333333,-2.508,1191.92,-0.58,1198.078,1203.8709999999999,1217.5904999999998,6.157999999999902,11.950999999999794,25.67049999999972,-0.11799999999999997,40.63,0.87,40.13,38.979499999999994,29.637999999999998,-0.5,-1.650500000000008,-10.992000000000004,0.4720000000000007,1799.0,0.31,1792.58,1761.0800000000004,1735.2033333333334,-6.420000000000073,-37.91999999999962,-63.796666666666624,0.20400000000000026,1.83,4.81,1.7464,1.6817499999999999,1.76705,-0.08360000000000012,-0.14825000000000021,-0.06295000000000006,1.432,10433.65,2.21,10145.764,9950.1015,9290.275833333331,-287.8860000000004,-483.54849999999897,-1143.3741666666683,104000.0,1.35,2187.93,1.65,2138.1479999999997,2136.4565000000002,2018.7431666666669,-49.78200000000015,-51.4734999999996,-169.18683333333297,66690.0,0.8880000000000006
코스닥 상장추진,소마젠,950200,2020-04-09,2020-06-22,2020-06-29,2020-07-02,2020-07-13,2020-07-13,신한투자증권 주식회사,"유전체 분석 서비스 (NGS, CES 등)",신규상장,주식예탁증권,"그외 기타 전문, 과학 및 기술 서비스업",미국,46200.0,0.1,11000.0,16861261.0,11650.0,5.9,15100.0,37.3,16950.0,54.1,15100.0,37.3,18150.0,65.0,13650.0,24.1,2020,20086832.0,-4857527.0,-23066854.0,139.22,0.0,139.266,139.081,138.97133333333335,0.04599999999999227,-0.13900000000001,-0.24866666666665083,0.03400000000000007,9252.0,-0.68,9273.74,9216.285,9389.16,21.73999999999978,-35.715000000000146,137.15999999999985,-0.41200000000000137,32.19,17.96,29.25,30.9755,31.69183333333333,-2.9399999999999977,-1.2144999999999975,-0.4981666666666662,3.2340000000000004,1203.37,0.25,1197.914,1202.9805,1215.7035,-5.455999999999904,-0.3894999999999982,12.333500000000186,0.194,40.1,-1.11,40.358,39.656,32.49466666666667,0.25799999999999557,-0.4440000000000026,-7.605333333333334,-0.24399999999999927,1814.1,0.68,1810.06,1781.25,1741.861666666667,-4.039999999999964,-32.84999999999991,-72.238333333333,0.1700000000000002,1.739,-3.66,1.8046,1.6949,1.7710666666666668,0.06559999999999988,-0.04410000000000003,0.03206666666666669,-0.986,10390.84,-2.13,10478.484,10120.703,9467.028333333332,87.64400000000023,-270.1370000000006,-923.8116666666683,108000.0,-0.0719999999999998,2186.06,1.67,2165.452,2141.594,2046.0826666666667,-20.60799999999972,-44.465999999999894,-139.97733333333326,65023.0,-0.00999999999999952
코스닥 상장추진,에이프로,262260,2020-06-10,2020-07-02,2020-07-08,2020-07-10,2020-07-16,2020-07-16,엔에이치투자증권주식회사,"2차전지 장비 등(일반충방전기, 고온가압 충방전기 등)",신규상장,주권,기타 전기장비 제조업,대한민국,29547.0,500.0,21600.0,6345954.0,21600.0,100.0,28050.0,159.7,22225.0,105.8,19300.0,78.7,23775.0,120.1,20000.0,85.2,2020,67358476.0,10382613.0,7578279.0,139.48,0.1,139.33599999999998,139.14450000000002,138.989,-0.14400000000000546,-0.3354999999999677,-0.49099999999998545,-0.0039999999999999255,9149.9,-0.65,9238.240000000002,9210.345,9376.725,88.34000000000196,60.44499999999971,226.82500000000073,-0.20800000000000135,28.0,0.86,28.951999999999998,30.235500000000002,30.926166666666667,0.9519999999999982,2.235500000000002,2.926166666666667,-0.4319999999999996,1205.11,0.38,1202.8580000000002,1201.5205,1214.2259999999999,-2.2519999999997253,-3.5894999999998163,9.115999999999985,0.13799999999999998,40.75,-1.09,40.577999999999996,40.009,33.745,-0.17200000000000415,-0.7409999999999997,-7.005000000000003,0.5760000000000007,1800.3,-0.74,1808.7,1792.4649999999997,1746.1283333333336,8.400000000000091,-7.835000000000264,-54.1716666666664,-0.03799999999999977,1.723,-3.09,1.7582,1.7127500000000002,1.7668500000000003,0.0351999999999999,-0.01024999999999987,0.04385000000000017,-0.6119999999999999,10473.83,-0.73,10504.236,10219.727,9567.675,30.40600000000086,-254.10299999999916,-906.1550000000007,87349.0,-0.1339999999999998,2183.76,-0.82,2181.112,2149.4275000000002,2061.070833333333,-2.6480000000001382,-34.33249999999998,-122.689166666667,78464.0,0.1540000000000005
코스닥 상장추진,솔트룩스,304100,2020-05-28,2020-07-07,2020-07-13,2020-07-16,2020-07-23,2020-07-23,한국투자증권㈜,인공지능 및 빅데이터 소프트웨어,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,18750.0,500.0,25000.0,5031515.0,20033.0,60.0,17178.0,37.2,14299.0,14.2,18105.0,44.6,17529.0,40.0,15601.0,24.6,2020,17138284.0,568766.0,1373712.0,139.62,0.04,139.49,139.297,139.03666666666666,-0.12999999999999545,-0.3230000000000075,-0.5833333333333428,0.01800000000000007,9615.0,0.6,9397.02,9282.325,9380.835,-217.97999999999956,-332.6749999999993,-234.16500000000087,0.9179999999999987,26.08,7.24,25.076,28.288500000000006,30.092499999999998,-1.0039999999999978,2.208500000000008,4.012499999999999,-1.2680000000000002,1201.45,0.35,1199.386,1199.5175,1212.5445,-2.064000000000078,-1.9325000000001182,11.094499999999925,-0.06000000000000001,41.07,-1.98,41.266000000000005,40.459999999999994,35.8705,0.19600000000000506,-0.6100000000000065,-5.1995000000000005,0.17000000000000073,1890.0,1.34,1845.2800000000002,1811.4299999999998,1756.7483333333332,-44.7199999999998,-78.57000000000016,-133.25166666666678,0.9800000000000002,1.785,6.19,1.7,1.7353,1.7531666666666668,-0.08499999999999996,-0.049699999999999855,-0.03183333333333316,0.7700000000000002,10461.42,-2.29,10623.638,10376.3275,9736.935833333331,162.21800000000076,-85.09250000000065,-724.4841666666689,99059.0,-0.013999999999999879,2216.19,-0.56,2214.614,2169.4225,2087.2546666666667,-1.5760000000000218,-46.76749999999993,-128.93533333333335,93454.0,0.29600000000000054
코스닥 상장추진,더네이쳐홀딩스,298540,2020-06-12,2020-07-08,2020-07-15,2020-07-20,2020-07-27,2020-07-27,한국투자증권㈜,"의류, 여행용 가방 및 잡화류",신규상장,주권,"섬유, 의복, 신발 및 가죽제품 소매업",대한민국,55200.0,500.0,46000.0,7182381.0,20700.0,-10.0,21500.0,-6.5,21450.0,-6.7,21250.0,-7.6,20325.0,-11.6,36400.0,58.3,2020,235344099.0,40035565.0,16318756.0,139.47,-0.08,139.55,139.322,139.057,0.0800000000000125,-0.14799999999999613,-0.4130000000000109,0.010000000000000075,11044.0,11.02,9976.28,9452.35,9442.823333333334,-1067.7199999999993,-1591.6499999999996,-1601.1766666666663,3.0139999999999985,24.74,-4.26,25.163999999999998,27.491999999999997,29.746500000000005,0.4239999999999995,2.751999999999999,5.006500000000006,0.3039999999999997,1195.57,-0.49,1197.9320000000002,1199.223,1211.6785000000002,2.3620000000003074,3.65300000000002,16.108500000000276,-0.08800000000000001,41.6,0.75,41.564,40.695,36.502833333333335,-0.036000000000001364,-0.9050000000000011,-5.097166666666666,0.3980000000000007,1931.0,1.77,1885.5,1824.78,1763.6533333333332,-45.5,-106.22000000000003,-167.3466666666668,1.2240000000000002,1.734,-4.09,1.7366,1.7521999999999998,1.7434166666666664,0.0025999999999999357,0.018199999999999772,0.009416666666666407,1.1640000000000004,10536.27,1.67,10549.472,10432.589,9788.522333333334,13.201999999999316,-103.6810000000005,-747.7476666666662,91298.0,-0.4259999999999998,2217.86,0.79,2218.3959999999997,2178.9309999999996,2096.1988333333334,0.5359999999996035,-38.92900000000054,-121.66116666666676,92862.0,0.1800000000000005
코스닥 상장추진,엠투아이,347890,2020-06-17,2020-07-09,2020-07-16,2020-07-21,2020-07-29,2020-07-29,미래에셋증권 주식회사,"스마트HMI, 스마트SCADA, 스마트팩토리솔루션",신규상장,주권,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",대한민국,52026.0,100.0,15600.0,8399102.0,9447.0,20.8,7968.0,1.9,7392.0,-5.4,7542.0,-3.5,9422.0,20.5,10000.0,27.9,2020,24714875.0,6669529.0,6002613.0,139.75,0.04,139.624,139.3885,139.08366666666663,-0.12600000000000477,-0.3615000000000066,-0.6663333333333696,0.02600000000000007,11117.0,1.69,10551.2,9620.005000000001,9491.43,-565.7999999999993,-1496.994999999999,-1625.5699999999997,3.1459999999999986,24.1,-5.27,25.240000000000002,27.0165,29.4125,1.1400000000000006,2.916499999999999,5.3125,-0.07600000000000015,1189.79,-0.81,1197.554,1198.646,1210.6490000000001,7.764000000000124,8.855999999999995,20.85900000000015,-0.12400000000000003,41.27,0.56,41.254000000000005,40.856,37.08233333333333,-0.015999999999998238,-0.4140000000000015,-4.187666666666672,-0.29599999999999926,1953.4,0.45,1923.3,1840.6599999999999,1771.9683333333335,-30.100000000000136,-112.74000000000024,-181.43166666666662,0.9320000000000002,1.854,3.0,1.7962,1.7638000000000003,1.74035,-0.057800000000000074,-0.09019999999999984,-0.11365000000000003,2.0400000000000005,10542.94,1.35,10461.18,10483.195000000002,9849.011666666665,-81.76000000000022,-59.74499999999898,-693.9283333333351,87849.0,-0.2959999999999998,2263.16,0.27,2230.928,2194.187,2107.7991666666667,-32.23199999999997,-68.97299999999996,-155.36083333333318,89949.0,0.3100000000000005
코스닥 상장추진,와이팜,332570,2020-06-24,2020-07-16,2020-07-21,2020-07-24,2020-07-31,2020-07-31,엔에이치투자증권주식회사,전력증폭기 모듈(PAM),신규상장,주권,전자부품 제조업,대한민국,81711.0,500.0,11000.0,37141356.0,15550.0,41.4,18800.0,70.9,15500.0,40.9,12550.0,14.1,13850.0,25.9,9200.0,-16.4,2020,125428748.0,11966074.0,11333859.0,140.08,0.04,139.80400000000003,139.48,139.12583333333333,-0.27599999999998204,-0.6000000000000227,-0.9541666666666799,0.07000000000000008,11350.0,2.04,11113.2,9816.055,9538.095000000001,-236.79999999999927,-1533.9449999999997,-1811.9049999999988,2.7579999999999982,24.46,-1.21,24.7,26.7095,29.14016666666667,0.23999999999999844,2.2494999999999976,4.680166666666668,-1.0340000000000003,1193.59,0.33,1193.6060000000002,1197.9225000000001,1209.7148333333332,0.01600000000030377,4.332500000000209,16.1248333333333,-0.13000000000000003,40.27,0.88,40.82000000000001,40.819,37.604166666666664,0.5500000000000043,0.5489999999999995,-2.665833333333339,-0.4859999999999993,1985.9,0.97,1956.3400000000001,1859.1199999999997,1780.5183333333332,-29.559999999999945,-126.78000000000043,-205.3816666666669,0.9160000000000001,1.799,-1.64,1.8032,1.7711999999999999,1.74,0.0041999999999999815,-0.027800000000000047,-0.05899999999999994,-0.053999999999999694,10745.28,1.49,10562.878,10531.7365,9910.171333333334,-182.40200000000004,-213.54349999999977,-835.108666666667,109000.00000000001,0.7340000000000002,2249.37,-0.78,2250.878,2205.6169999999997,2118.4983333333334,1.5080000000002656,-43.753000000000156,-130.87166666666644,73969.0,0.4420000000000005
